Waf: Entering directory `/home/user/ns3/ns-allinone-3.29/ns-3.29/build'
[1913/1966] Compiling scratch/lastest.cc
[1926/1966] Linking build/scratch/lastest
Waf: Leaving directory `/home/user/ns3/ns-allinone-3.29/ns-3.29/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (15.589s)
---------------------------
---------------------------
---------------------------
1 125 9 0.440001
2 93 9 0.440001
3 143 9 0.440001
4 126 11 0.440001
5 50 11 0.440001
6 24 10 0.440001
7 21 10 0.440001
8 37 9 0.440001
9 89 11 0.440001
10 26 9 0.440001
11 110 9 0.440001
12 105 10 0.440001
13 19 10 0.440001
14 3 8 0.440001
15 1 10 0.440001
16 98 9 0.440001
17 118 8 0.440001
18 84 10 0.440001
19 18 9 0.440001
20 154 9 0.440001
21 71 7 0.440001
22 73 9 0.440001
23 96 9 0.440001
24 83 9 0.440001
25 14 9 0.440001
26 74 9 0.440001
27 28 9 0.440001
28 112 9 0.440001
29 116 9 0.440001
30 29 11 0.440001
31 102 9 0.440001
32 76 9 0.440001
33 176 9 0.640001
34 177 10 0.640001
35 57 11 0.640001
36 192 10 0.640001
37 75 8 0.640001
38 179 10 0.640001
39 96 8 0.640001
40 146 10 0.640001
41 181 9 0.640001
42 71 10 0.640001
43 194 9 0.640001
44 167 9 0.640001
45 189 9 0.640001
46 180 8 0.640001
47 81 9 0.640001
48 180 8 0.640001
49 107 9 0.840001
50 101 11 0.840001
51 16 9 0.840001
52 19 0 0.840001
53 212 9 0.840001
54 13 13 1.04
55 2 11 1.24
56 10 17 1.32
57 18 17 1.48
58 27 15 1.52
59 12 16 1.8
60 32 5 1.92
61 3 13 1.96
62 1 12 2.68
63 11 6 2.72
64 1 7 2.76
65 21 17 2.96
66 5 9 3
67 24 15 3.04
68 5 12 3.28
69 7 9 3.48
70 2 16 3.48
71 14 15 3.68
72 4 11 3.76
73 26 6 3.92
74 15 10 3.92
75 31 16 4.16
---------------------------
76 11 13 4.2
77 22 13 4.4
78 23 15 4.4
79 6 16 4.44
80 20 7 4.44
81 8 13 4.56
82 8 0 4.6
83 7 14 4.64
84 10 13 4.72
85 39 15 4.84
86 13 12 4.92
87 40 0 5.04
88 25 10 5.08
89 11 11 5.32
90 6 12 5.36
91 18 12 5.4
92 21 16 5.4
93 26 17 5.4
94 31 8 5.64
---------------------------
95 12 11 5.8
96 9 14 5.88
97 9 11 5.92
98 28 18 6.04
99 34 11 6.24
---------------------------
100 46 15 6.24
101 32 16 6.56
102 8 16 6.6
103 14 12 6.64
104 30 14 6.8
105 15 13 6.8
106 48 15 6.84
107 16 12 6.88
108 13 12 7.16
109 33 6 7.2
110 40 5 7.24
111 44 17 7.52
112 37 14 7.52
113 42 6 7.84
114 35 15 7.84
115 18 14 7.84
116 51 6 7.88
117 43 6 8.04
118 17 12 8.36
119 50 4 8.4
120 38 14 8.6
121 41 15 8.64
122 17 13 8.68
123 38 13 8.68
124 19 13 8.72
125 8 16 9
126 45 12 9.04
127 20 12 9.2
128 53 4 9.28
129 21 12 9.56
130 47 0 9.64
131 52 16 9.68
132 57 14 9.68
133 56 18 9.68
134 19 15 9.8
135 37 12 9.8
136 25 7 9.92
137 17 14 9.96
