Waf: Entering directory `/home/user/ns3/ns-allinone-3.29/ns-3.29/build'
[1913/1966] Compiling scratch/lastest.cc
[1926/1966] Linking build/scratch/lastest
Waf: Leaving directory `/home/user/ns3/ns-allinone-3.29/ns-3.29/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (13.413s)
1 93 15 0.400001
2 4 8 0.440001
3 203 9 0.440001
4 216 9 0.440001
5 103 7 0.440001
6 192 16 0.440001
7 33 8 0.440001
8 129 8 0.440001
9 61 10 0.440001
10 112 10 0.440001
11 96 8 0.440001
12 69 10 0.440001
13 56 9 0.440001
14 1 8 0.440001
15 165 8 0.440001
16 234 10 0.440001
17 157 9 0.440001
18 77 8 0.440001
19 224 7 0.440001
20 66 8 0.440001
21 227 7 0.440001
22 164 8 0.440001
23 167 8 0.440001
24 81 15 0.440001
25 195 9 0.440001
26 212 6 0.440001
27 175 8 0.440001
28 248 7 0.640001
29 268 8 0.640001
30 319 7 0.640001
31 276 15 0.640001
32 5 11 0.640001
33 288 8 0.640001
34 286 7 0.640001
35 290 8 0.640001
36 4 16 0.800001
37 9 15 0.800001
38 2 13 0.840001
39 1 16 0.840001
40 334 9 0.840001
41 1 16 1.2
42 7 16 1.2
43 18 14 1.2
44 336 11 1.44
45 17 12 1.48
46 3 14 1.6
47 24 14 1.64
48 38 10 1.64
49 16 15 1.64
50 16 14 1.8
51 16 8 1.8
52 44 9 1.84
53 15 16 2
54 31 11 2.04
55 335 12 2.04
---------------------------
56 3 14 2.2
57 39 14 2.2
58 340 8 2.24
59 27 16 2.4
60 28 16 2.4
61 3 12 2.44
62 19 15 2.6
63 6 16 2.6
64 31 16 2.6
65 23 16 2.6
---------------------------
66 337 10 2.64
67 13 16 2.8
68 7 13 2.8
69 22 10 2.84
70 12 16 3
71 17 14 3.2
72 27 13 3.2
73 21 16 3.2
74 19 14 3.2
75 23 16 3.4
76 35 10 3.64
77 18 12 3.64
78 339 11 3.84
79 342 13 4
80 2 13 4.04
81 8 12 4.08
82 38 16 4.2
83 25 14 4.2
84 6 15 4.24
85 36 11 4.4
86 20 16 4.4
87 345 11 4.44
88 22 15 4.44
89 11 13 4.44
90 10 16 4.6
91 30 11 4.64
92 347 11 4.64
93 32 16 4.8
94 27 16 4.8
95 10 15 4.8
96 30 12 4.84
97 348 12 4.84
98 6 16 5
99 20 13 5
100 5 16 5
101 22 16 5
102 24 16 5
103 34 12 5.04
104 33 12 5.04
105 43 12 5.24
106 29 13 5.4
107 14 15 5.4
108 26 14 5.4
109 47 11 5.44
110 351 11 5.44
111 35 11 5.48
112 28 15 5.6
113 11 15 5.6
114 50 11 5.84
115 343 11 5.84
116 39 14 6.04
117 53 8 6.04
118 341 13 6.2
119 52 15 6.2
120 352 11 6.24
121 346 11 6.44
122 37 10 6.44
123 7 15 6.52
124 25 16 6.8
125 357 14 7
126 58 14 7
127 36 16 7
128 14 15 7
129 57 13 7.2
130 338 10 7.24
131 360 12 7.4
132 19 10 7.44
133 58 15 7.64
134 359 14 7.64
135 42 14 7.8
136 361 13 7.8
137 62 14 7.84
138 43 11 8.24
139 42 10 8.24
140 362 12 8.4
141 344 13 8.4
142 50 11 8.44
143 354 10 8.44
144 18 16 8.6
145 63 16 9
146 68 13 9
147 56 16 9.2
148 60 12 9.2
149 48 16 9.2
150 45 13 9.2
151 65 15 9.24
152 29 16 9.4
153 45 9 9.44
154 47 10 9.64
155 49 12 9.64
156 50 14 9.8
157 51 16 9.8
158 32 12 9.8
159 40 16 9.8
