Waf: Entering directory `/home/user/ns3/ns-allinone-3.29/ns-3.29/build'
[1913/1966] Compiling scratch/lastest.cc
[1926/1966] Linking build/scratch/lastest
Waf: Leaving directory `/home/user/ns3/ns-allinone-3.29/ns-3.29/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (12.592s)
---------------------------
---------------------------
---------------------------
1 37 10 0.440001
2 133 9 0.440001
3 97 10 0.440001
4 64 9 0.440001
5 115 10 0.440001
6 85 10 0.440001
7 53 9 0.440001
8 21 11 0.440001
9 4 8 0.440001
10 37 10 0.440001
11 94 10 0.440001
12 93 10 0.440001
13 26 10 0.440001
14 105 10 0.440001
15 99 9 0.440001
16 135 9 0.440001
17 21 9 0.440001
18 3 9 0.440001
19 2 10 0.440001
20 96 9 0.440001
21 121 9 0.440001
22 88 7 0.440001
23 12 10 0.440001
24 23 10 0.440001
25 99 9 0.440001
26 68 7 0.440001
27 35 8 0.440001
28 26 8 0.440001
29 75 10 0.440001
30 28 9 0.440001
31 44 9 0.440001
32 118 8 0.440001
33 27 10 0.440001
34 112 9 0.440001
35 25 9 0.440001
36 94 10 0.600001
37 62 9 0.640001
38 106 10 0.640001
39 82 8 0.640001
40 181 9 0.640001
41 113 7 0.640001
42 156 9 0.640001
43 162 9 0.640001
44 176 9 0.640001
45 136 9 0.640001
46 161 8 0.640001
47 160 9 0.640001
48 152 8 0.640001
49 87 9 0.640001
50 182 8 0.640001
51 189 9 0.640001
52 82 0 0.800001
53 11 11 0.840001
54 10 7 0.840001
55 2 0 0.840001
56 18 4 0.840001
57 4 15 0.840001
58 10 14 0.840001
59 3 4 1.04
60 114 9 1.04
61 15 10 1.04
62 1 11 1.08
63 2 14 1.08
64 14 0 1.24
65 17 14 1.28
66 4 10 1.48
67 31 17 1.48
---------------------------
68 26 12 1.76
69 20 3 1.8
70 21 7 1.8
71 36 5 1.88
72 24 15 2
73 3 10 2.04
74 30 3 2.2
75 12 17 2.28
76 7 4 2.52
77 9 7 2.52
78 6 17 2.52
79 37 2 2.6
80 25 12 2.64
81 8 13 2.68
82 27 9 2.72
83 7 12 2.72
84 5 13 2.72
85 14 12 2.76
86 38 16 2.8
87 9 13 2.84
88 28 15 2.84
89 26 17 2.88
90 23 14 2.96
91 13 17 2.96
92 10 10 3.04
93 32 9 3.04
94 24 11 3.16
95 16 8 3.2
96 28 13 3.2
97 7 3 3.24
98 9 9 3.24
99 18 5 3.4
100 1 7 3.48
101 20 9 3.6
102 13 10 3.64
103 6 11 3.68
104 12 12 3.68
105 34 11 3.72
106 39 17 3.72
107 27 12 3.8
108 34 5 3.84
109 29 15 3.92
110 42 12 3.92
111 13 17 3.96
112 16 8 3.96
113 31 12 4
---------------------------
114 47 6 4.04
115 6 11 4.2
116 11 15 4.2
117 43 15 4.24
118 17 13 4.24
119 42 2 4.24
120 8 15 4.44
121 30 16 4.48
122 18 14 4.48
123 15 5 4.68
124 44 14 4.84
125 52 17 4.84
126 36 18 4.92
127 19 13 4.92
128 16 15 4.96
129 14 14 5.04
130 21 13 5.12
131 15 14 5.24
132 48 16 5.24
133 54 16 5.24
134 53 7 5.32
135 41 15 5.4
136 20 13 5.4
137 11 13 5.44
138 25 7 5.6
139 8 12 5.88
140 22 13 5.88
141 41 17 5.92
142 50 8 5.92
143 45 17 6.04
144 1 5 6.12
145 51 12 6.16
---------------------------
146 46 16 6.2
147 23 13 6.24
148 53 17 6.36
149 22 7 6.4
150 24 12 6.44
151 54 10 6.56
152 61 9 6.64
---------------------------
153 46 11 6.72
154 22 9 6.8
155 2 8 6.84
156 35 17 6.84
157 12 17 7.04
158 55 7 7.04
159 26 11 7.04
160 52 9 7.08
161 63 8 7.08
162 58 16 7.12
163 40 15 7.16
164 25 13 7.16
165 58 16 7.2
166 43 16 7.24
167 19 16 7.32
168 33 14 7.44
169 59 12 7.44
170 48 13 7.64
171 30 10 7.68
172 55 9 7.88
173 60 15 7.88
174 31 12 7.92
---------------------------
175 19 6 7.96
176 27 12 7.96
177 56 11 8.04
178 32 9 8.08
179 28 12 8.2
180 69 6 8.24
181 62 9 8.36
182 63 15 8.36
183 68 4 8.4
184 63 8 8.4
185 34 13 8.44
186 69 16 8.64
187 29 12 8.64
188 59 16 8.72
189 17 17 8.76
190 17 14 8.8
191 74 0 8.84
192 57 9 8.88
193 35 12 8.88
194 72 3 8.92
195 67 16 8.96
196 71 11 8.96
197 3 1 9
198 40 10 9
199 36 13 9.08
200 32 12 9.16
201 50 5 9.2
202 33 13 9.2
203 65 15 9.24
204 77 8 9.24
205 73 14 9.24
206 73 12 9.36
207 38 0 9.4
208 44 10 9.44
209 4 16 9.48
210 64 8 9.48
211 57 14 9.64
212 39 13 9.64
213 49 15 9.68
214 38 12 9.68
215 76 11 9.72
216 75 12 9.8
217 83 17 9.84
218 40 15 9.84
219 5 15 9.96
220 37 13 9.96
