Waf: Entering directory `/home/user/ns3/ns-allinone-3.29/ns-3.29/build'
[1913/1966] Compiling scratch/lastest.cc
[1928/1966] Linking build/scratch/lastest
Waf: Leaving directory `/home/user/ns3/ns-allinone-3.29/ns-3.29/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (13.940s)
---------------------------
---------------------------
1 153 4 0.440001
2 88 5 0.440001
3 124 5 0.440001
4 44 5 0.440001
5 16 5 0.440001
6 31 4 0.440001
7 126 4 0.440001
8 143 4 0.440001
9 21 4 0.440001
10 3 4 0.440001
11 1 5 0.440001
12 107 4 0.440001
13 139 4 0.440001
14 80 3 0.440001
15 14 4 0.440001
16 161 4 0.440001
17 76 2 0.440001
18 67 3 0.440001
19 26 4 0.440001
20 146 4 0.440001
21 21 4 0.440001
22 135 3 0.440001
23 23 5 0.440001
---------------------------
24 182 4 0.640001
25 223 5 0.640001
26 227 5 0.640001
27 51 5 0.640001
28 207 5 0.640001
29 69 3 0.640001
30 245 4 0.640001
31 180 6 0.640001
32 99 3 0.640001
33 209 4 0.640001
34 199 5 0.640001
35 193 4 0.640001
36 65 5 0.640001
37 218 6 0.640001
38 227 4 0.640001
39 202 3 0.640001
40 187 4 0.640001
41 187 3 0.640001
42 89 4 0.640001
43 246 2 0.640001
44 224 3 0.640001
45 193 4 0.640001
46 69 0 0.800001
47 136 5 0.840001
48 130 4 0.840001
49 2 2 0.840001
50 12 1 0.840001
51 265 4 0.840001
52 278 5 0.840001
53 296 5 0.840001
54 19 2 1.04
55 2 1 1.04
56 3 15 1.04
57 4 12 1.04
58 14 12 1.04
59 9 0 1.24
60 5 13 1.24
61 1 15 1.56
62 14 3 1.64
63 20 11 1.64
64 15 6 1.68
65 26 5 1.8
66 34 3 1.84
67 6 0 1.92
68 6 4 2
69 8 13 2.24
70 3 2 2.44
71 5 7 2.44
72 1 10 2.44
73 35 4 2.44
74 1 4 2.48
75 28 9 2.64
76 37 11 2.64
77 9 12 2.68
78 10 14 2.84
79 22 15 2.84
80 9 14 2.96
81 11 13 3.08
82 4 13 3.2
83 24 14 3.2
84 11 6 3.24
85 13 1 3.24
86 5 8 3.24
87 12 12 3.32
88 36 16 3.4
89 10 16 3.4
90 15 5 3.44
91 18 6 3.52
92 28 13 3.8
93 10 7 3.8
94 33 4 3.84
95 31 2 3.84
---------------------------
96 15 12 3.88
97 14 13 4
98 25 16 4.08
99 2 16 4.2
100 27 1 4.24
101 8 11 4.24
102 21 15 4.4
103 4 16 4.4
104 19 13 4.72
105 7 14 4.72
106 40 14 4.8
107 20 14 4.88
108 17 13 5
109 18 11 5.2
110 44 4 5.24
111 21 13 5.36
112 16 13 5.4
113 30 7 5.4
114 13 14 5.44
115 7 14 5.44
116 23 5 5.6
117 41 16 5.8
118 12 12 5.8
119 42 7 5.84
120 17 3 6.04
121 41 11 6.04
122 22 14 6.12
123 13 15 6.2
124 23 13 6.24
125 37 13 6.4
126 6 0 6.6
127 36 11 6.6
128 26 13 6.6
129 50 9 6.6
130 47 15 6.64
131 24 13 6.68
---------------------------
132 46 1 6.68
133 16 8 6.84
134 18 7 6.84
135 25 13 7
136 31 15 7
137 35 15 7
138 52 6 7
---------------------------
139 26 12 7.04
140 44 7 7.04
141 27 12 7.04
142 39 8 7.08
143 25 13 7.16
144 48 11 7.4
145 39 13 7.4
146 54 16 7.44
147 42 13 7.68
148 32 12 7.68
---------------------------
149 46 7 7.8
150 19 4 7.8
151 47 10 8.04
152 33 11 8.08
153 28 0 8.2
154 29 12 8.2
155 51 8 8.2
156 59 8 8.2
157 54 14 8.28
158 30 14 8.4
159 36 14 8.44
160 39 15 8.64
161 35 15 8.72
162 49 15 8.8
163 31 13 8.88
164 1 2 8.88
---------------------------
165 60 0 8.92
166 49 8 8.96
167 16 12 9
168 43 16 9
169 32 11 9
170 34 15 9.04
171 63 9 9.04
172 8 10 9.04
173 56 16 9.2
174 7 3 9.24
175 61 11 9.24
176 29 2 9.24
177 37 13 9.36
178 38 15 9.36
179 55 6 9.44
180 32 9 9.44
181 40 13 9.44
182 45 14 9.6
183 43 14 9.64
184 62 11 9.8
185 17 16 9.8
186 59 5 9.84
187 45 16 9.84
188 42 14 9.88
