Waf: Entering directory `/home/user/ns3/ns-allinone-3.29/ns-3.29/build'
[1913/1966] Compiling scratch/lastest.cc
[1926/1966] Linking build/scratch/lastest
Waf: Leaving directory `/home/user/ns3/ns-allinone-3.29/ns-3.29/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (14.960s)
---------------------------
1 5 13 0.440001
2 110 12 0.440001
3 112 13 0.440001
4 179 14 0.440001
5 97 13 0.440001
6 35 19 0.440001
7 48 13 0.440001
8 99 13 0.440001
9 158 14 0.440001
10 169 13 0.440001
11 115 13 0.440001
12 165 15 0.440001
13 19 15 0.440001
14 163 13 0.440001
15 44 15 0.440001
16 32 14 0.440001
17 119 13 0.440001
18 122 13 0.440001
19 181 13 0.440001
20 93 13 0.440001
21 132 13 0.440001
22 60 15 0.440001
23 138 13 0.440001
24 107 14 0.440001
25 135 13 0.440001
26 86 13 0.440001
27 140 13 0.440001
28 133 14 0.440001
29 81 14 0.440001
30 61 14 0.440001
31 139 14 0.440001
32 157 13 0.440001
33 21 13 0.440001
34 6 16 0.680001
35 1 17 0.840001
36 2 18 0.840001
37 4 11 0.840001
38 4 16 0.840001
39 5 18 0.840001
40 6 17 0.840001
41 10 15 0.840001
42 12 18 0.840001
43 21 16 0.840001
44 6 15 1.08
45 17 17 1.08
46 114 15 1.16
47 26 16 1.24
48 22 14 1.28
49 51 16 1.44
50 23 15 1.48
51 24 17 1.48
52 13 18 1.48
53 3 16 1.56
54 134 15 1.64
55 57 16 1.64
56 5 13 1.8
57 7 18 1.8
58 20 13 1.84
59 184 16 1.88
60 18 18 2.04
61 19 18 2.04
62 182 17 2.04
63 30 17 2.04
64 58 15 2.08
65 28 18 2.08
66 21 16 2.24
67 26 18 2.44
68 23 15 2.44
69 183 18 2.44
70 22 16 2.44
71 2 17 2.52
72 9 17 2.52
73 11 18 2.52
74 12 18 2.52
75 17 17 2.64
76 188 14 2.64
77 27 17 2.68
78 2 14 2.72
79 31 16 2.72
---------------------------
80 14 15 2.76
81 28 15 2.84
82 29 18 2.84
83 36 18 2.84
84 35 17 2.84
85 25 17 2.92
86 39 18 3.04
87 38 15 3.04
88 30 18 3.04
89 31 17 3.04
---------------------------
90 8 15 3.08
91 37 18 3.08
92 25 19 3.16
93 13 14 3.24
94 35 16 3.24
95 28 17 3.24
96 33 16 3.24
97 32 19 3.28
98 190 17 3.28
99 36 17 3.44
100 37 12 3.44
101 44 15 3.44
102 15 19 3.64
103 27 17 3.64
104 40 17 3.64
105 11 18 3.72
106 10 16 3.72
107 40 17 3.72
108 18 17 3.8
109 34 17 3.8
110 20 14 3.88
111 1 16 3.96
112 3 19 3.96
113 15 18 3.96
114 20 17 3.96
115 34 17 3.96
116 194 16 4.04
117 63 16 4.08
118 185 14 4.12
---------------------------
119 46 18 4.24
120 45 18 4.24
121 53 17 4.24
122 47 19 4.24
123 43 18 4.28
124 42 15 4.32
125 47 17 4.36
---------------------------
126 46 17 4.36
127 38 13 4.4
128 8 18 4.44
129 16 13 4.44
130 52 18 4.48
131 44 14 4.48
132 48 16 4.56
133 192 16 4.56
134 39 17 4.64
135 60 10 4.64
136 50 17 4.64
137 193 16 4.64
138 57 16 4.64
139 51 17 4.64
140 58 17 4.64
141 16 15 4.8
142 61 16 4.84
143 197 15 4.84
144 19 16 4.96
145 51 12 5
146 54 14 5.04
147 41 19 5.08
148 196 14 5.08
149 48 16 5.16
150 49 19 5.24
151 7 16 5.24
152 67 11 5.24
153 75 16 5.24
154 66 17 5.24
155 53 17 5.32
156 49 18 5.36
157 29 14 5.4
158 70 16 5.44
159 69 16 5.44
160 68 15 5.44
161 24 19 5.56
162 72 15 5.64
163 59 18 5.64
164 58 18 5.64
165 55 15 5.76
166 14 16 5.8
167 52 18 5.8
168 61 7 5.84
169 60 17 5.84
170 205 16 5.84
171 75 18 5.84
172 7 16 5.88
173 41 20 5.88
174 55 15 5.88
175 187 15 5.88
176 74 17 5.88
177 57 17 5.96
178 59 18 6.08
179 50 18 6.2
180 63 18 6.24
181 56 18 6.24
182 65 17 6.24
183 66 10 6.24
184 78 17 6.24
185 199 15 6.28
186 63 17 6.28
187 42 15 6.32
188 73 16 6.36
189 68 18 6.44
190 189 15 6.48
191 8 15 6.6
192 195 15 6.6
193 71 19 6.6
194 72 18 6.64
195 69 16 6.64
196 70 17 6.64
197 67 16 6.72
198 88 16 6.84
199 87 17 6.88
200 79 18 6.96
201 81 18 6.96
202 83 19 6.96
203 56 17 7.04
204 90 17 7.04
205 74 16 7.04
206 186 16 7.04
207 91 16 7.04
208 71 16 7.12
209 84 13 7.12
210 45 18 7.24
211 77 18 7.24
212 76 18 7.24
213 78 17 7.24
214 25 15 7.28
215 94 18 7.28
216 9 19 7.32
217 86 18 7.36
218 80 17 7.44
219 81 19 7.44
220 209 16 7.44
221 97 10 7.44
222 76 19 7.48
223 77 15 7.48
224 75 16 7.48
225 89 16 7.52
226 83 18 7.64
227 84 18 7.64
228 96 18 7.68
229 210 18 7.68
230 79 17 7.72
231 104 14 7.84
232 103 19 7.84
233 89 17 7.84
234 212 16 7.84
235 100 17 7.88
236 86 16 7.88
237 95 18 7.92
238 62 14 7.96
239 77 16 7.96
240 101 18 8.08
241 208 15 8.08
242 91 16 8.24
243 110 13 8.24
244 92 17 8.24
245 98 17 8.36
246 99 17 8.36
247 211 16 8.44
248 95 17 8.44
249 191 17 8.44
250 76 15 8.48
251 202 14 8.48
252 111 18 8.48
253 33 17 8.6
254 215 14 8.64
255 216 14 8.64
256 109 19 8.76
257 87 17 8.84
258 43 16 8.96
259 90 17 9
260 108 15 9
261 107 14 9
262 105 17 9.04
263 88 17 9.04
264 65 19 9.12
265 120 16 9.24
266 103 17 9.24
267 119 13 9.28
268 102 18 9.28
269 115 14 9.32
270 114 18 9.36
271 96 17 9.36
272 121 12 9.44
273 104 8 9.44
274 106 17 9.44
275 73 17 9.48
276 219 16 9.64
277 108 18 9.64
278 105 17 9.68
279 85 18 9.76
280 47 16 9.84
281 107 14 9.88
282 124 16 9.88
283 54 19 9.96
284 106 18 9.96
