Waf: Entering directory `/home/user/ns3/ns-allinone-3.29/ns-3.29/build'
[1913/1966] Compiling scratch/lastest.cc
[1926/1966] Linking build/scratch/lastest
Waf: Leaving directory `/home/user/ns3/ns-allinone-3.29/ns-3.29/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (16.993s)
---------------------------
---------------------------
---------------------------
---------------------------
2 1 0.444214
4 1 0.444214
5 1 0.444214
7 1 0.444214
10 1 0.444214
15 1 0.444214
21 1 0.444214
24 1 0.444214
20 5 0.444214
22 5 0.444214
23 5 0.444214
26 5 0.444214
27 5 0.444214
38 5 0.444214
43 5 0.444214
46 5 0.444214
12 15 0.444214
14 15 0.444214
16 15 0.444214
17 15 0.444214
25 15 0.444214
30 15 0.444214
47 15 0.444214
28 1 0.450214
32 1 0.450214
34 1 0.450214
41 1 0.450214
44 1 0.450214
39 1 0.462214
1 1 0.644214
3 1 0.644214
6 1 0.644214
13 1 0.644214
18 1 0.644214
19 1 0.644214
31 1 0.644214
40 1 0.644214
11 5 0.644214
37 5 0.644214
42 5 0.644214
50 5 0.644214
8 15 0.644214
29 15 0.644214
45 15 0.644214
49 1 0.650214
27 1 0.804214
32 15 0.804214
35 1 0.844214
36 1 0.844214
46 1 0.844214
48 5 0.844214
9 15 0.844214
39 15 0.844214
20 1 1.00421
17 5 1.08421
33 5 1.17021
5 15 1.20421
13 15 2.00421
32 5 2.28421
11 15 2.36421
2 15 2.40421
10 15 2.40421
46 5 2.68421
4 15 3.00421
36 5 3.60421
32 15 3.60421
42 15 3.72421
36 1 4.04421
26 1 4.20421
43 1 4.20421
45 5 4.20421
41 15 4.20421
38 15 4.36421
44 5 4.40421
39 5 4.56421
18 15 5.20421
46 15 5.41021
2 1 5.52421
50 1 5.80421
46 5 5.84421
14 1 6.00421
8 1 6.16421
2 15 6.20421
39 15 6.20421
4 1 6.80421
9 5 7.00421
47 1 7.12421
47 5 7.44421
18 1 7.52421
49 5 7.60421
22 1 8.00421
25 5 8.00421
27 5 8.00421
14 15 8.00421
42 5 8.20421
33 15 8.20421
18 15 8.40421
40 15 8.40421
33 5 8.60421
29 5 8.76421
30 5 8.80421
40 1 9.08421
48 1 9.40421
8 15 9.40421
6 15 9.64421
6 1 10.0502
40 15 10.4042
50 15 10.6042
29 15 10.6842
19 15 10.8042
33 15 10.8042
15 5 10.8442
27 1 10.9242
6 5 11.1642
24 5 11.2062
48 5 11.2842
42 15 11.4042
24 1 11.6442
40 1 11.6842
20 5 11.7642
2 1 11.8042
27 15 11.8042
42 5 11.8442
49 1 12.0042
18 1 12.1642
50 1 12.2042
40 15 12.2042
24 5 12.2842
48 1 12.4042
34 5 12.4042
17 15 12.6042
50 15 12.6442
22 5 12.8042
44 1 13.0042
28 15 13.0442
3 15 13.4042
20 1 14.0042
12 5 14.0042
39 5 14.0042
34 1 14.2842
42 1 14.4042
3 1 14.5242
25 15 14.6042
29 5 14.8042
34 15 15.2442
13 1 15.2842
22 1 15.4042
48 5 15.6842
40 1 15.7642
20 5 15.7642
49 5 15.8042
13 15 15.8042
28 1 16.2842
37 15 16.4442
46 15 16.7642
29 15 16.8042
7 15 17.2042
18 15 17.4042
13 1 17.5242
28 15 17.8042
26 5 17.8842
11 1 18.0042
13 15 18.0042
49 15 18.0042
26 1 18.4042
22 15 18.5642
28 1 19.0042
18 1 19.2042
35 5 19.5242
6 15 19.6442
34 1 19.8042
