Waf: Entering directory `/home/user/ns3/ns-allinone-3.29/ns-3.29/build'
[1913/1966] Compiling scratch/lastest.cc
[1926/1966] Linking build/scratch/lastest
Waf: Leaving directory `/home/user/ns3/ns-allinone-3.29/ns-3.29/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (26.454s)
---------------------------
1 12 8 0.440001
2 1 13 0.440001
3 29 8 0.440001
4 6 8 0.440001
5 15 11 0.440001
6 26 11 0.440001
7 29 15 0.440001
8 4 13 0.440001
9 6 15 0.440001
10 24 11 0.440001
11 34 10 0.440001
12 4 14 0.680001
13 1 13 0.840001
14 3 10 0.840001
15 33 12 0.840001
16 1 16 0.840001
17 1 11 0.840001
18 2 13 0.840001
19 3 12 0.840001
20 2 5 0.840001
21 4 13 0.840001
22 3 13 0.880001
23 2 7 1
24 33 11 1.08
25 30 15 1.16
26 25 13 1.16
27 31 14 1.16
---------------------------
28 36 11 1.24
29 18 9 1.24
30 6 5 1.24
31 4 14 1.24
32 5 15 1.28
33 2 10 1.32
34 17 14 1.32
35 7 12 1.36
36 8 16 1.44
37 5 11 1.44
38 35 8 1.44
39 7 10 1.48
40 37 13 1.48
41 36 13 1.48
42 4 12 1.56
43 40 13 1.64
44 32 12 1.64
45 6 9 1.64
46 11 15 1.64
47 5 11 1.68
48 9 13 1.68
49 20 15 1.68
50 10 13 1.68
51 21 12 1.84
52 12 14 1.84
53 40 12 1.84
54 22 14 1.84
55 28 10 1.88
56 38 13 1.88
57 8 14 1.92
58 35 12 1.96
59 8 10 2
60 13 9 2.04
61 43 8 2.04
62 41 13 2.08
63 26 14 2.16
64 11 11 2.24
65 7 6 2.24
66 10 7 2.24
67 12 14 2.24
68 19 13 2.28
69 1 8 2.28
70 14 14 2.32
71 34 13 2.32
72 27 13 2.36
73 17 13 2.44
74 13 9 2.44
75 15 11 2.48
76 45 11 2.52
77 39 13 2.52
78 8 11 2.6
79 3 13 2.6
80 14 12 2.64
81 19 11 2.64
82 16 15 2.68
83 5 11 2.68
84 21 11 2.72
85 5 11 2.72
86 2 11 2.76
87 15 8 2.84
88 21 14 2.84
89 20 14 2.88
90 8 14 2.96
91 9 13 2.96
92 47 13 3.08
93 16 8 3.08
---------------------------
94 46 14 3.16
95 14 9 3.24
96 47 11 3.24
97 52 13 3.24
98 33 10 3.28
99 38 15 3.32
100 24 14 3.36
101 17 13 3.44
102 43 14 3.48
103 37 11 3.48
104 31 16 3.52
105 7 11 3.52
---------------------------
106 48 14 3.56
107 25 11 3.56
108 15 14 3.56
109 19 9 3.6
110 38 7 3.64
111 18 13 3.64
112 17 13 3.68
113 3 12 3.76
114 49 13 3.76
115 29 12 3.76
116 18 10 3.84
117 20 9 3.84
118 51 14 3.84
119 21 13 3.84
120 42 13 3.84
121 19 9 3.84
122 22 12 3.84
123 16 12 3.88
124 39 15 3.88
125 37 12 3.88
126 15 10 3.88
127 23 11 4.04
128 24 16 4.04
129 51 13 4.08
130 35 9 4.12
---------------------------
131 46 14 4.2
132 25 13 4.24
133 60 13 4.24
134 27 12 4.24
135 26 1 4.24
136 28 12 4.24
137 27 12 4.28
138 32 15 4.28
139 23 14 4.28
140 50 12 4.4
141 25 13 4.44
142 23 13 4.48
143 24 15 4.48
144 14 14 4.56
145 22 11 4.56
146 27 10 4.64
147 26 9 4.64
148 52 14 4.72
149 56 14 4.76
150 53 11 4.84
151 31 7 4.84
152 32 14 4.84
---------------------------
153 23 13 4.92
154 41 13 4.96
155 57 14 5
156 34 12 5.04
157 33 7 5.04
158 57 11 5.08
159 30 8 5.12
160 28 9 5.24
161 55 15 5.24
162 29 10 5.24
163 44 11 5.32
164 63 13 5.32
165 29 14 5.36
166 59 13 5.44
167 67 13 5.44
168 59 13 5.6
169 31 6 5.64
170 36 11 5.64
171 50 13 5.64
---------------------------
172 53 15 5.68
173 41 8 5.68
174 49 8 5.68
175 40 13 5.72
176 35 12 5.72
177 32 10 5.84
178 45 14 5.88
179 60 15 5.88
180 48 13 5.96
181 39 6 6.04
182 69 7 6.04
183 37 12 6.04
---------------------------
184 46 10 6.08
185 68 11 6.08
186 50 13 6.12
187 17 14 6.12
188 39 10 6.12
189 30 15 6.16
190 34 13 6.24
191 38 16 6.28
192 28 9 6.28
193 20 13 6.32
194 26 12 6.32
195 44 11 6.4
196 41 12 6.44
197 54 12 6.44
198 6 14 6.48
199 40 12 6.48
200 44 9 6.52
201 35 13 6.68
202 33 13 6.72
203 51 14 6.8
204 62 7 6.8
205 37 13 6.84
206 36 12 6.84
207 38 14 6.84
208 67 12 6.88
209 47 12 6.92
210 44 10 7.04
211 66 13 7.12
212 42 14 7.12
213 42 13 7.12
214 45 14 7.24
215 56 7 7.24
216 39 13 7.24
217 57 13 7.24
---------------------------
218 46 13 7.44
219 40 12 7.44
220 69 11 7.48
221 70 10 7.56
222 58 14 7.56
223 74 13 7.6
224 55 12 7.6
225 48 12 7.64
226 30 10 7.68
227 47 15 7.68
228 53 16 7.68
229 64 12 7.72
230 43 14 7.76
231 43 5 7.8
232 76 6 7.8
233 42 12 7.8
234 43 11 7.8
235 49 14 7.84
236 63 13 7.88
237 18 11 7.88
238 64 14 7.92
239 79 15 7.96
240 58 12 8
241 73 12 8.04
242 42 11 8.04
243 50 13 8.04
244 43 13 8.04
245 60 12 8.04
246 83 12 8.04
247 36 11 8.12
248 73 11 8.16
249 45 12 8.24
250 61 5 8.24
251 63 13 8.24
252 44 8 8.24
253 62 14 8.24
254 74 7 8.24
255 78 9 8.28
256 41 14 8.28
257 34 10 8.32
258 65 11 8.36
259 62 13 8.44
260 70 12 8.44
261 47 11 8.44
262 51 12 8.44
263 48 13 8.56
264 58 7 8.6
265 68 13 8.64
266 49 11 8.64
---------------------------
267 46 12 8.68
268 52 13 8.72
269 68 13 8.72
270 82 13 8.76
271 54 12 8.84
272 56 8 8.84
273 55 10 8.84
274 50 9 8.84
275 70 12 8.88
276 48 14 8.88
277 54 8 8.88
278 53 11 8.88
279 75 13 8.92
280 57 5 9.04
281 52 9 9.04
282 51 9 9.04
283 53 11 9.04
284 58 15 9.04
285 72 11 9.04
286 66 13 9.08
287 61 11 9.08
288 52 13 9.12
289 67 13 9.16
290 55 10 9.2
291 54 13 9.24
292 59 11 9.24
293 95 11 9.24
294 72 11 9.28
295 88 12 9.32
296 71 13 9.32
297 56 13 9.36
298 64 12 9.44
299 75 13 9.44
300 58 12 9.44
301 55 14 9.44
302 56 14 9.44
303 60 13 9.44
304 77 12 9.64
305 59 13 9.64
306 60 11 9.64
307 16 7 9.72
308 59 15 9.76
309 72 11 9.76
310 61 12 9.84
311 62 13 9.84
312 97 9 9.88
313 61 8 9.88
314 69 12 9.88
315 57 15 9.92
