Waf: Entering directory `/home/user/ns3/ns-allinone-3.29/ns-3.29/build'
[1913/1966] Compiling scratch/lastest.cc
[1926/1966] Linking build/scratch/lastest
Waf: Leaving directory `/home/user/ns3/ns-allinone-3.29/ns-3.29/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (15.799s)
4 1 0.444214
5 1 0.444214
16 1 0.444214
28 1 0.444214
19 5 0.444214
23 5 0.444214
33 5 0.444214
36 5 0.444214
43 5 0.444214
9 15 0.444214
---------------------------
15 1 0.450214
38 5 0.450214
46 5 0.450214
39 15 0.450214
11 15 0.456214
27 5 0.684214
20 5 0.690214
22 5 0.690214
45 15 0.690214
6 1 0.702214
39 1 0.844214
15 5 0.844214
38 15 0.844214
4 5 0.856214
32 1 0.924214
17 15 0.924214
44 15 0.924214
10 1 1.16421
12 15 1.16421
29 15 1.16421
14 5 1.17021
44 5 1.25621
9 1 1.32421
46 1 1.32421
43 15 1.32421
13 1 1.40421
34 1 1.40421
8 5 1.40421
48 5 1.40421
11 1 1.56421
33 15 1.57021
23 15 1.57621
50 5 1.64421
30 15 1.65021
47 15 1.65021
20 15 1.77021
28 5 1.80421
---------------------------
8 1 1.84421
34 5 1.84421
14 1 1.92421
6 5 2.00421
30 1 2.04421
36 1 2.04421
20 5 2.04421
2 1 2.12421
41 1 2.12421
49 1 2.12421
45 1 2.24421
27 1 2.25621
50 15 2.28421
23 5 2.32421
42 1 2.36421
46 15 2.37021
9 15 2.37621
4 1 2.44421
36 5 2.44421
6 15 2.44421
32 15 2.44421
---------------------------
24 15 2.61021
9 1 2.64421
29 1 2.64421
50 5 2.64421
49 5 2.68421
8 5 2.72421
34 15 2.73621
36 15 2.84421
44 15 2.85021
45 15 2.88421
23 15 2.89021
22 15 2.96421
19 1 3.00421
49 1 3.04421
34 5 3.05021
38 1 3.16421
20 15 3.16421
35 1 3.32421
17 5 3.40421
30 15 3.40421
39 15 3.41021
19 5 3.44421
---------------------------
23 5 3.48421
48 15 3.53021
6 5 3.56421
26 5 3.56421
1 1 3.57021
27 5 3.61021
2 15 3.65021
20 5 3.69621
40 1 3.80421
43 5 3.80421
---------------------------
48 5 3.84421
23 15 3.84421
35 5 3.88421
36 5 3.97021
2 1 4.04421
25 15 4.04421
49 5 4.16421
35 1 4.26221
18 1 4.28421
27 1 4.29021
2 15 4.44421
21 1 4.52421
19 1 4.57021
27 5 4.64421
49 1 4.71421
24 5 4.73021
29 5 4.73621
32 1 4.76421
2 1 4.84421
21 5 4.84421
14 5 4.89021
49 15 5.04421
24 15 5.05021
19 5 5.08421
25 1 5.16421
21 1 5.49021
12 1 5.53021
4 15 5.72421
31 1 5.74221
22 5 5.89021
4 1 6.04421
34 15 6.09621
21 5 6.10221
47 5 6.12421
19 1 6.16421
33 1 6.16421
48 15 6.16421
40 15 6.17021
25 15 6.40421
4 5 6.44421
7 15 6.45621
---------------------------
1 5 6.48421
10 15 6.50221
44 5 6.61621
36 1 6.64421
9 15 6.64421
24 5 6.65021
48 5 6.68421
47 15 6.69021
27 15 6.72421
34 5 6.93621
37 5 6.93621
22 15 6.96421
39 1 6.97621
