Waf: Entering directory `/home/user/ns3/ns-allinone-3.29/ns-3.29/build'
[1913/1966] Compiling scratch/lastest.cc
[1926/1966] Linking build/scratch/lastest
Waf: Leaving directory `/home/user/ns3/ns-allinone-3.29/ns-3.29/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (12.200s)
---------------------------
1 5 13 0.440001
2 70 12 0.440001
3 100 13 0.440001
4 88 13 0.440001
5 94 14 0.440001
6 97 20 0.440001
7 123 14 0.440001
8 105 13 0.440001
9 55 16 0.440001
10 136 16 0.440001
11 19 15 0.440001
12 18 14 0.440001
13 43 15 0.440001
14 32 14 0.440001
15 101 14 0.440001
16 104 13 0.440001
17 119 14 0.440001
18 93 13 0.440001
19 115 13 0.440001
20 98 14 0.440001
21 148 13 0.440001
22 86 15 0.440001
23 137 13 0.440001
24 95 13 0.440001
25 144 14 0.440001
26 116 13 0.440001
27 81 13 0.440001
28 34 19 0.440001
29 83 14 0.440001
30 107 14 0.440001
31 134 13 0.440001
32 21 13 0.440001
33 117 18 0.680001
34 6 16 0.680001
35 5 16 0.840001
36 7 15 0.840001
37 12 15 0.840001
38 14 18 0.840001
39 18 16 0.840001
40 8 16 0.840001
41 23 18 0.840001
42 4 17 1.08
43 7 16 1.08
44 3 18 1.08
45 19 16 1.08
46 11 18 1.24
47 12 16 1.24
48 150 14 1.24
49 13 17 1.24
50 25 14 1.28
51 1 16 1.32
52 14 18 1.44
53 50 16 1.44
54 149 16 1.48
55 1 18 1.56
56 2 16 1.56
57 15 17 1.56
58 9 18 1.56
59 57 16 1.64
60 56 16 1.64
61 28 18 1.64
62 30 15 1.64
63 27 19 1.68
64 48 15 1.68
65 10 16 1.72
66 73 15 1.72
67 8 14 1.8
68 20 17 1.8
69 33 11 1.84
70 17 18 1.84
71 34 17 1.84
72 74 16 1.88
73 152 15 1.88
74 31 17 1.88
---------------------------
75 13 14 2.04
76 21 17 2.04
77 22 13 2.04
78 35 17 2.04
79 69 16 2.04
80 20 17 2.04
81 37 16 2.04
82 38 16 2.04
83 8 15 2.08
84 29 19 2.12
85 24 17 2.24
86 2 16 2.24
87 41 17 2.24
88 39 16 2.24
89 22 18 2.24
90 23 16 2.24
91 10 18 2.28
92 11 18 2.28
93 16 17 2.28
94 61 16 2.28
95 32 17 2.32
96 26 15 2.4
97 26 18 2.44
98 151 16 2.44
99 28 13 2.44
100 40 16 2.48
101 21 17 2.48
102 3 18 2.52
103 9 16 2.52
104 17 17 2.52
105 7 15 2.52
106 154 15 2.56
107 35 16 2.64
108 43 16 2.64
109 25 14 2.68
110 30 16 2.68
111 5 19 2.76
112 38 15 2.84
113 37 10 2.84
114 47 18 2.84
115 36 9 2.84
116 39 11 2.84
117 49 17 2.84
118 31 17 2.88
---------------------------
119 24 17 2.92
120 6 15 3
121 18 15 3
122 32 18 3.12
---------------------------
123 46 18 3.12
124 36 18 3.24
125 28 17 3.24
126 51 18 3.28
127 155 16 3.32
128 34 18 3.36
129 20 16 3.44
130 2 18 3.48
131 4 16 3.48
132 166 16 3.52
133 50 12 3.56
134 48 18 3.56
135 15 17 3.6
136 44 17 3.6
137 27 16 3.64
138 44 17 3.64
139 45 16 3.64
140 173 17 3.64
141 53 16 3.72
142 159 14 3.72
143 160 15 3.72
144 52 18 3.76
145 40 10 3.8
146 58 17 3.84
147 172 16 3.84
148 168 16 3.88
149 56 15 3.88
150 55 18 3.92
151 170 14 3.92
152 42 18 3.96
153 175 15 4.04
154 45 18 4.08
155 25 16 4.08
156 29 16 4.12
157 163 17 4.24
158 56 13 4.24
159 64 12 4.24
160 59 17 4.28
161 49 18 4.32
---------------------------
162 46 19 4.36
163 52 17 4.52
164 50 16 4.56
165 70 8 4.64
166 60 15 4.64
167 71 16 4.64
168 169 15 4.68
169 59 15 4.68
170 62 19 4.76
171 51 17 4.76
172 74 14 4.84
173 63 17 5
174 62 12 5.04
175 176 17 5.04
176 180 16 5.04
177 47 16 5.08
178 45 16 5.08
179 68 17 5.16
180 16 15 5.2
181 41 12 5.2
182 60 17 5.24
183 177 17 5.24
184 48 16 5.28
185 63 14 5.28
186 54 18 5.4
187 43 19 5.4
188 58 19 5.44
189 64 13 5.44
190 76 13 5.44
191 183 14 5.44
192 77 18 5.44
193 78 17 5.44
194 69 15 5.6
195 80 14 5.64
196 66 16 5.64
197 82 9 5.64
198 65 18 5.68
199 57 17 5.68
200 61 17 5.72
201 73 18 5.8
202 158 15 5.84
203 185 17 5.84
204 189 14 5.84
205 83 16 5.84
206 19 15 5.88
207 161 15 5.88
208 65 16 5.92
209 190 15 6.04
210 71 12 6.04
211 164 16 6.08
212 79 14 6.16
213 54 14 6.2
214 53 14 6.2
215 33 18 6.24
216 75 17 6.24
217 87 15 6.24
218 89 17 6.24
219 165 15 6.28
220 69 17 6.28
221 178 15 6.28
222 72 18 6.32
223 84 16 6.32
224 55 18 6.4
225 181 17 6.44
226 73 18 6.48
227 85 16 6.52
228 6 15 6.6
229 174 14 6.6
230 66 17 6.64
231 153 16 6.64
232 76 17 6.64
233 195 16 6.64
234 193 16 6.68
235 92 16 6.68
236 57 17 6.72
237 82 13 6.84
238 94 17 6.88
239 194 15 6.88
240 90 16 6.96
241 70 17 7
242 97 16 7.04
243 81 16 7.08
244 85 16 7.08
245 188 14 7.08
246 96 18 7.08
247 86 19 7.24
248 83 17 7.28
249 74 17 7.44
250 102 16 7.44
251 192 17 7.44
252 171 16 7.44
253 86 17 7.48
254 199 15 7.48
255 68 16 7.52
256 67 19 7.52
257 85 18 7.52
258 95 16 7.56
259 77 18 7.6
260 105 18 7.64
261 103 18 7.68
262 200 17 7.72
263 100 18 7.76
264 112 11 7.84
265 110 15 7.84
266 111 17 7.84
267 109 16 7.84
268 187 15 7.88
269 88 17 7.88
270 179 15 7.88
271 88 17 7.92
272 113 18 8.04
273 93 15 8.04
274 78 16 8.08
275 108 16 8.08
276 72 16 8.16
277 99 18 8.24
278 206 15 8.24
279 96 13 8.24
280 162 16 8.28
281 198 15 8.28
282 157 14 8.28
283 197 15 8.28
284 93 17 8.32
285 167 15 8.32
286 61 17 8.4
287 98 17 8.44
288 118 17 8.44
289 117 14 8.44
290 202 16 8.48
291 115 18 8.48
292 79 17 8.56
293 104 17 8.64
294 121 18 8.64
295 122 15 8.64
296 102 16 8.64
297 119 12 8.64
298 184 15 8.68
299 201 15 8.68
300 107 15 8.8
301 127 16 8.84
302 128 14 8.84
303 208 15 8.84
304 124 17 8.88
305 120 16 8.88
306 42 16 8.92
307 101 18 8.92
308 67 18 9
309 91 19 9.04
310 90 19 9.04
311 105 16 9.04
312 106 13 9.04
313 205 15 9.08
314 125 17 9.08
315 123 17 9.12
316 98 16 9.2
317 97 15 9.2
318 95 17 9.2
319 89 17 9.28
320 104 17 9.28
321 103 17 9.32
322 100 18 9.36
323 94 14 9.44
324 133 13 9.44
325 134 13 9.44
326 117 15 9.44
327 109 17 9.48
328 108 15 9.48
329 106 17 9.52
330 186 15 9.52
331 137 10 9.64
