Waf: Entering directory `/home/user/ns3/ns-allinone-3.29/ns-3.29/build'
[1913/1966] Compiling scratch/lastest.cc
[1926/1966] Linking build/scratch/lastest
Waf: Leaving directory `/home/user/ns3/ns-allinone-3.29/ns-3.29/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (24.667s)
---------------------------
1 32 15 0.400001
2 219 7 0.440001
3 102 7 0.440001
4 86 9 0.440001
5 182 8 0.440001
6 37 11 0.440001
7 240 9 0.440001
8 185 8 0.440001
9 140 8 0.440001
10 60 10 0.440001
11 25 8 0.440001
12 89 8 0.440001
13 174 8 0.440001
14 100 9 0.440001
15 155 8 0.440001
16 120 8 0.440001
17 146 10 0.440001
18 71 8 0.440001
19 61 7 0.440001
20 95 8 0.440001
21 162 7 0.440001
22 113 14 0.600001
23 34 15 0.600001
24 77 16 0.600001
25 251 8 0.640001
26 246 8 0.640001
27 2 11 0.640001
28 269 7 0.640001
29 259 7 0.640001
30 284 8 0.640001
31 297 7 0.640001
32 296 10 0.640001
33 292 8 0.640001
34 290 9 0.640001
35 1 16 0.800001
36 4 16 0.800001
37 300 7 0.840001
38 1 15 0.840001
39 19 16 1
40 3 12 1.04
41 22 13 1.2
42 24 14 1.2
43 16 15 1.2
44 2 15 1.4
45 33 12 1.4
46 260 13 1.4
47 302 12 1.44
48 39 12 1.44
49 7 12 1.64
50 8 15 1.64
51 209 15 1.8
52 31 16 1.8
53 32 12 1.8
54 4 14 1.8
---------------------------
55 11 10 1.84
56 44 13 1.84
57 20 11 1.84
58 7 9 1.84
59 15 12 1.84
60 27 14 2
61 305 10 2.04
62 5 14 2.2
63 33 12 2.2
64 1 12 2.24
65 11 9 2.24
66 303 12 2.24
67 17 7 2.24
68 18 12 2.4
69 34 16 2.4
70 30 15 2.4
71 13 15 2.4
72 301 12 2.44
73 37 16 2.6
74 12 15 2.6
75 14 15 2.6
76 5 16 2.6
77 25 16 2.6
78 13 13 2.64
79 18 13 2.64
80 19 12 2.84
81 20 10 2.84
82 21 10 2.84
83 22 12 2.84
84 9 15 2.88
85 16 14 3
86 4 15 3
87 17 16 3
88 26 15 3
89 7 13 3.04
90 20 16 3.2
91 307 12 3.24
92 22 12 3.24
93 40 14 3.24
94 13 12 3.4
95 321 14 3.4
96 308 12 3.4
97 310 11 3.44
98 2 16 3.6
99 3 16 3.8
100 319 12 3.8
101 25 14 3.8
102 316 12 3.84
103 30 16 4
104 19 11 4.04
105 314 12 4.2
106 34 14 4.2
107 44 15 4.24
108 23 11 4.28
109 9 15 4.4
110 10 15 4.4
111 15 16 4.4
112 313 9 4.44
113 36 14 4.6
114 35 16 4.6
115 41 15 4.6
116 322 10 4.64
117 47 9 4.64
118 28 14 4.68
119 6 13 4.8
120 306 14 4.84
121 39 13 5
122 324 13 5
123 51 14 5.04
124 52 10 5.04
125 39 11 5.08
126 23 12 5.2
127 14 16 5.2
128 40 16 5.2
129 12 14 5.2
130 31 16 5.2
131 327 12 5.2
---------------------------
132 53 16 5.24
133 54 14 5.44
134 28 16 5.6
135 55 16 5.6
136 56 11 5.64
137 332 11 5.64
138 58 12 5.64
139 59 15 5.64
140 60 10 5.64
141 38 13 5.8
142 24 16 5.8
143 36 16 5.8
144 318 12 5.8
145 328 11 5.84
146 331 12 5.84
147 50 16 5.84
148 312 12 6.04
149 337 11 6.04
150 323 13 6.2
151 6 14 6.2
152 38 14 6.2
153 41 12 6.24
154 325 12 6.24
155 329 13 6.4
156 62 14 6.44
157 304 13 6.6
158 29 16 6.6
159 37 15 6.6
160 48 15 6.64
161 63 15 6.8
162 334 13 6.8
163 64 15 6.8
164 330 11 6.84
165 68 13 7
166 14 11 7.04
167 49 8 7.04
168 72 14 7.2
169 57 13 7.2
170 50 11 7.24
171 51 16 7.24
172 70 16 7.4
---------------------------
173 46 12 7.4
174 339 13 7.4
175 317 16 7.44
176 320 11 7.44
177 66 12 7.48
178 43 15 7.6
179 42 13 7.6
180 53 11 7.64
181 54 11 7.64
182 45 16 7.8
183 73 16 7.8
184 58 12 7.8
185 333 11 7.84
186 57 16 7.84
187 326 11 7.84
188 315 12 8
189 309 12 8
190 47 16 8
191 341 14 8
192 61 13 8.04
193 59 10 8.04
194 35 16 8.2
195 33 14 8.2
196 74 16 8.2
197 61 14 8.24
198 342 11 8.24
199 347 10 8.24
200 335 13 8.4
201 344 12 8.44
202 81 15 8.44
203 3 15 8.6
204 65 16 8.6
205 75 16 8.6
206 79 12 8.64
207 343 11 8.64
208 84 16 8.8
209 80 13 8.84
210 67 16 9
211 64 16 9
212 68 10 9.04
213 349 11 9.04
214 77 16 9.04
215 348 15 9.2
---------------------------
216 46 16 9.2
217 78 13 9.2
218 69 16 9.2
219 67 14 9.2
220 336 11 9.24
221 73 11 9.24
222 60 16 9.4
223 69 16 9.4
224 65 15 9.4
225 87 13 9.44
226 42 13 9.48
227 311 11 9.64
228 45 13 9.8
229 49 16 9.8
230 91 14 9.84
231 78 14 9.84
232 92 16 9.84
233 79 11 9.84
234 352 11 9.84
235 88 13 9.88
