Waf: Entering directory `/home/user/ns3/ns-allinone-3.29/ns-3.29/build'
[1913/1966] Compiling scratch/lastest.cc
[1926/1966] Linking build/scratch/lastest
Waf: Leaving directory `/home/user/ns3/ns-allinone-3.29/ns-3.29/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (12.306s)
299 35 1 6.16
300 4 1 6.16
---------------------------
301 46 2 6.2
302 80 11 6.2
303 81 12 6.2
304 70 8 6.2
305 71 6 6.2
306 82 13 6.2
307 43 8 6.2
308 12 6 6.24
309 14 1 6.24
310 15 0 6.24
311 77 6 6.24
312 67 2 6.24
313 68 5 6.24
314 69 5 6.24
315 78 7 6.24
316 11 0 6.24
317 73 5 6.24
318 17 6 6.24
319 74 3 6.24
320 8 4 6.24
321 18 5 6.24
322 75 6 6.24
323 9 9 6.28
324 47 3 6.32
325 8 4 6.32
326 21 2 6.4
327 52 3 6.4
328 16 0 6.4
329 15 3 6.4
330 35 2 6.4
331 4 2 6.4
332 79 7 6.4
333 76 6 6.4
---------------------------
334 46 2 6.44
335 18 0 6.44
336 5 17 6.44
337 43 2 6.44
338 18 0 6.48
339 47 2 6.56
340 8 3 6.56
341 1 17 6.6
342 21 1 6.64
343 52 2 6.64
344 16 0 6.64
345 15 2 6.64
346 35 1 6.64
347 4 1 6.64
348 6 14 6.64
---------------------------
349 46 1 6.68
350 3 17 6.68
351 4 15 6.68
352 43 0 6.68
353 18 0 6.72
354 47 2 6.8
355 8 2 6.8
356 2 17 6.8
357 21 1 6.88
358 52 1 6.88
359 16 0 6.88
360 15 1 6.88
361 35 1 6.88
362 4 1 6.88
---------------------------
363 46 1 6.92
364 43 0 6.92
365 18 0 6.96
366 47 1 7.04
367 8 1 7.04
368 21 1 7.12
369 52 1 7.12
370 16 0 7.12
371 15 0 7.12
372 35 0 7.12
373 4 0 7.12
---------------------------
374 46 0 7.16
375 43 0 7.16
376 18 0 7.2
377 47 1 7.28
378 8 0 7.28
379 21 1 7.36
380 52 0 7.36
381 16 0 7.36
382 15 0 7.36
383 35 0 7.36
384 4 0 7.36
---------------------------
385 46 0 7.4
386 43 0 7.4
387 56 10 7.4
388 18 0 7.44
389 47 1 7.52
390 8 0 7.52
391 21 1 7.6
392 52 1 7.6
393 16 2 7.6
394 15 0 7.6
395 35 2 7.6
396 4 1 7.6
397 52 6 7.6
398 53 7 7.6
399 66 6 7.6
---------------------------
400 46 12 7.6
401 71 15 7.6
402 72 16 7.6
---------------------------
403 46 1 7.64
404 43 0 7.64
405 18 0 7.68
406 47 2 7.76
407 8 0 7.76
408 44 8 7.8
409 58 6 7.8
410 54 8 7.8
411 55 16 7.8
412 67 10 7.8
413 69 10 7.8
414 21 1 7.84
415 52 1 7.84
416 16 3 7.84
417 15 0 7.84
418 35 2 7.84
419 4 2 7.84
---------------------------
420 46 2 7.88
421 43 0 7.88
422 18 0 7.92
423 47 2 8
424 8 1 8
425 41 15 8
426 61 14 8
427 73 16 8
428 64 8 8
429 63 7 8
430 42 15 8
431 21 2 8.08
432 52 3 8.08
433 16 3 8.08
434 15 1 8.08
435 35 2 8.08
436 4 3 8.08
---------------------------
437 46 3 8.12
438 43 0 8.12
439 18 0 8.16
440 57 16 8.2
441 43 8 8.2
442 59 8 8.2
443 47 8 8.2
444 48 7 8.2
445 60 7 8.2
446 78 15 8.2
447 62 8 8.2
448 45 7 8.2
449 49 6 8.2
450 74 11 8.2
451 51 8 8.2
452 76 17 8.2
453 68 5 8.2
454 50 10 8.2
455 47 2 8.24
456 8 2 8.24
457 21 3 8.32
458 52 3 8.32
459 16 3 8.32
460 15 1 8.32
461 35 2 8.32
462 4 3 8.32
---------------------------
463 46 3 8.36
464 43 0 8.36
465 18 0 8.4
466 75 7 8.4
467 79 13 8.4
468 77 9 8.4
469 65 8 8.4
470 70 8 8.4
471 47 2 8.48
472 8 1 8.48
473 21 3 8.56
474 52 3 8.56
475 16 3 8.56
476 15 2 8.56
477 35 3 8.56
478 4 3 8.56
---------------------------
479 46 4 8.6
480 43 0 8.6
481 18 0 8.64
482 47 1 8.72
483 8 1 8.72
484 21 3 8.8
485 52 4 8.8
486 16 4 8.8
487 15 2 8.8
488 35 3 8.8
489 4 3 8.8
---------------------------
490 46 4 8.84
491 43 0 8.84
492 18 0 8.88
493 47 2 8.96
494 8 1 8.96
495 21 4 9.04
496 52 4 9.04
497 16 4 9.04
498 15 3 9.04
499 35 3 9.04
500 4 4 9.04
501 48 5 9.04
---------------------------
502 46 4 9.08
503 43 0 9.08
504 18 1 9.12
505 47 2 9.2
506 8 2 9.2
507 45 9 9.2
508 37 9 9.2
509 32 10 9.2
510 55 7 9.2
---------------------------
511 46 3 9.24
512 38 8 9.24
513 54 5 9.24
514 27 5 9.24
515 28 6 9.24
516 21 3 9.28
517 52 6 9.28
518 16 5 9.28
519 15 4 9.28
520 35 3 9.28
521 4 6 9.28
---------------------------
522 46 6 9.32
523 43 0 9.32
524 18 2 9.36
525 41 8 9.4
526 33 8 9.4
527 53 7 9.4
528 34 8 9.4
529 47 3 9.44
530 8 3 9.44
531 31 6 9.44
532 60 6 9.44
---------------------------
533 21 4 9.52
534 52 6 9.52
535 16 6 9.52
536 15 4 9.52
537 35 4 9.52
538 4 6 9.52
---------------------------
539 46 6 9.56
540 43 0 9.56
541 18 1 9.6
542 35 10 9.6
543 42 7 9.6
544 43 7 9.6
545 23 8 9.6
546 58 7 9.6
547 49 9 9.6
548 24 6 9.64
549 30 5 9.64
550 47 5 9.64
551 59 6 9.64
552 47 2 9.68
553 8 3 9.68
554 21 5 9.76
555 52 6 9.76
556 16 6 9.76
557 15 5 9.76
558 35 5 9.76
559 4 6 9.76
---------------------------
560 46 5 9.8
561 43 0 9.8
562 44 10 9.8
563 57 7 9.8
564 36 6 9.8
565 25 9 9.8
566 18 1 9.84
567 56 6 9.84
568 29 4 9.84
569 50 3 9.84
570 22 7 9.84
571 26 4 9.84
572 51 5 9.84
573 39 4 9.84
574 52 4 9.84
575 40 4 9.84
576 47 3 9.92
577 8 4 9.92
