Waf: Entering directory `/home/user/ns3/ns-allinone-3.29/ns-3.29/build'
[1913/1966] Compiling scratch/lastest.cc
[1926/1966] Linking build/scratch/lastest
Waf: Leaving directory `/home/user/ns3/ns-allinone-3.29/ns-3.29/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (30.338s)
---------------------------
1 10 13 0.440001
2 13 11 0.440001
3 34 14 0.440001
4 33 13 0.440001
5 44 13 0.440001
6 35 12 0.440001
7 22 13 0.440001
8 29 14 0.440001
9 31 16 0.440001
10 55 14 0.440001
11 30 12 0.440001
---------------------------
12 61 10 0.640001
13 12 13 0.680001
14 17 10 0.680001
15 4 15 0.680001
16 1 13 0.840001
17 20 14 0.840001
18 5 12 0.840001
19 2 12 0.840001
20 2 12 0.840001
21 3 10 0.840001
22 5 14 0.840001
23 7 16 1.04
24 1 16 1.08
25 4 14 1.08
26 1 14 1.08
27 3 14 1.08
28 4 13 1.08
29 23 13 1.16
30 36 12 1.24
31 6 15 1.24
32 63 15 1.24
33 64 13 1.24
34 2 15 1.36
35 23 13 1.4
36 8 12 1.44
37 9 12 1.44
38 9 10 1.44
39 7 13 1.48
40 10 12 1.64
41 11 13 1.64
42 11 13 1.64
43 3 13 1.76
44 13 11 1.84
45 14 15 1.84
46 23 13 1.84
47 62 13 1.88
48 12 12 1.88
49 10 13 1.92
50 39 14 2.04
51 24 14 2.04
52 19 14 2.16
53 6 12 2.24
54 41 12 2.24
55 42 13 2.24
56 67 14 2.24
57 37 14 2.44
58 16 12 2.44
59 15 13 2.48
60 15 13 2.52
61 13 12 2.56
62 12 12 2.6
63 15 7 2.6
64 65 14 2.64
65 68 12 2.64
66 14 15 2.76
67 69 13 2.84
68 17 15 2.88
69 18 14 2.92
70 24 13 3.04
71 21 13 3.04
72 20 14 3.04
73 20 14 3.04
74 44 8 3.04
75 1 14 3.08
76 7 14 3.12
77 2 13 3.12
78 3 14 3.12
79 19 11 3.16
80 5 14 3.16
81 40 14 3.2
82 1 12 3.2
83 21 14 3.24
84 19 12 3.28
85 19 13 3.32
86 16 14 3.44
87 26 13 3.44
88 22 12 3.44
89 24 12 3.44
90 23 13 3.44
---------------------------
91 46 12 3.44
92 22 13 3.44
93 26 14 3.48
94 2 13 3.56
95 18 12 3.6
96 17 15 3.64
97 23 14 3.64
98 30 13 3.64
99 8 14 3.72
100 20 12 3.76
101 6 13 3.84
102 73 14 3.84
103 33 9 3.84
104 24 13 3.84
105 29 13 3.84
106 5 13 3.96
107 48 11 4.04
108 75 11 4.04
109 12 15 4.04
110 32 15 4.08
111 25 12 4.08
112 14 12 4.12
113 34 13 4.24
114 76 13 4.24
115 33 14 4.28
116 30 11 4.28
117 31 15 4.36
118 27 14 4.36
---------------------------
119 27 13 4.44
120 28 13 4.44
121 34 12 4.44
122 26 13 4.48
123 45 13 4.52
124 28 12 4.56
125 29 12 4.64
126 29 13 4.68
127 77 16 4.72
128 72 13 4.72
129 31 12 4.76
---------------------------
130 25 12 4.8
131 78 13 4.88
132 30 11 4.88
133 31 13 4.88
---------------------------
134 6 12 4.96
135 6 14 5.04
136 40 10 5.04
137 51 14 5.04
138 41 9 5.04
139 25 14 5.12
140 35 12 5.12
141 36 14 5.16
142 41 12 5.24
143 39 11 5.28
144 50 14 5.28
145 27 14 5.32
146 42 15 5.44
147 43 13 5.44
148 32 13 5.48
149 15 12 5.52
150 8 13 5.56
151 36 14 5.56
152 38 14 5.56
153 52 15 5.64
154 32 11 5.68
155 33 14 5.68
156 83 11 5.72
157 85 14 5.84
158 87 12 5.84
---------------------------
159 46 14 5.84
160 86 13 5.84
161 34 13 5.92
162 79 15 5.96
163 82 14 5.96
164 40 13 5.96
165 38 13 6.04
166 36 13 6.12
167 42 13 6.2
168 49 10 6.24
169 48 13 6.24
170 88 13 6.32
171 35 11 6.36
172 47 12 6.48
173 37 14 6.52
174 39 13 6.52
175 45 15 6.56
176 37 14 6.56
177 44 13 6.64
178 41 13 6.64
179 50 13 6.64
---------------------------
180 46 13 6.72
181 37 14 6.76
182 43 11 6.76
183 90 14 6.84
184 11 14 6.92
185 55 12 6.92
186 45 14 6.96
187 54 11 7.04
188 47 12 7.08
189 50 12 7.08
190 58 14 7.08
191 49 15 7.12
192 53 14 7.2
193 38 14 7.2
194 44 12 7.24
195 52 13 7.28
196 18 14 7.4
197 40 12 7.44
198 60 10 7.44
199 56 12 7.48
200 59 14 7.48
201 4 15 7.48
202 42 13 7.52
203 91 13 7.56
204 58 13 7.64
205 45 12 7.64
206 44 12 7.68
207 89 14 7.84
208 22 12 7.84
209 47 11 7.84
210 53 14 7.84
211 61 14 7.84
---------------------------
212 46 11 7.84
213 54 14 7.88
214 51 13 7.88
215 21 13 8
216 53 12 8
217 51 12 8
218 43 10 8
219 62 9 8.04
220 61 12 8.04
221 55 8 8.2
222 92 13 8.2
223 98 12 8.24
224 51 15 8.24
225 50 11 8.24
226 57 14 8.4
227 52 13 8.44
228 55 13 8.44
229 65 15 8.44
230 49 13 8.48
231 39 15 8.48
232 96 11 8.56
233 70 13 8.56
234 48 13 8.6
235 53 11 8.64
236 100 6 8.64
237 66 15 8.64
238 4 12 8.64
239 67 12 8.64
240 94 11 8.68
241 64 16 8.68
242 54 13 8.68
243 13 10 8.72
244 69 12 8.84
245 54 11 8.84
246 74 13 8.92
247 71 13 8.96
248 63 15 8.96
249 62 13 8.96
250 99 14 8.96
251 57 13 9
252 56 13 9.04
253 58 14 9.04
254 59 4 9.04
255 67 14 9.04
256 57 10 9.04
257 70 13 9.04
258 58 12 9.04
259 65 15 9.08
260 56 14 9.12
261 103 15 9.24
262 73 12 9.44
263 63 10 9.44
264 105 11 9.44
265 62 13 9.44
266 61 11 9.44
267 70 13 9.44
268 65 15 9.44
269 60 14 9.48
270 71 13 9.48
271 61 11 9.48
272 59 14 9.52
273 97 13 9.52
274 55 12 9.56
275 48 14 9.68
276 64 13 9.76
277 66 14 9.76
278 57 12 9.8
279 80 14 9.8
280 73 12 9.84
281 75 14 9.84
282 74 14 9.88
283 64 12 9.92
284 13 14 9.96
285 102 15 9.96
