Waf: Entering directory `/home/user/ns3/ns-allinone-3.29/ns-3.29/build'
[1913/1966] Compiling scratch/lastest.cc
[1927/1966] Linking build/scratch/lastest
Waf: Leaving directory `/home/user/ns3/ns-allinone-3.29/ns-3.29/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (13.160s)
---------------------------
---------------------------
24 30 0.444214
33 36 0.444214
10 39 0.444214
27 30 0.450214
38 30 0.450214
47 30 0.450214
25 36 0.450214
12 39 0.450214
32 39 0.450214
26 36 0.456214
2 39 0.456214
21 30 0.462214
34 30 0.468214
4 30 0.480214
5 36 0.492214
7 39 0.510214
48 39 0.528214
20 39 0.534214
13 30 0.644214
30 30 0.644214
39 30 0.644214
29 36 0.644214
44 36 0.644214
45 36 0.644214
14 39 0.644214
8 36 0.650214
3 39 0.650214
17 39 0.650214
37 39 0.650214
6 39 0.656214
16 39 0.656214
28 39 0.656214
50 39 0.662214
31 30 0.674214
42 30 0.680214
40 36 0.684214
46 39 0.686214
41 36 0.690214
20 1 0.844214
24 1 0.844214
27 1 0.844214
9 39 0.844214
38 39 0.844214
11 36 0.850214
32 36 0.850214
33 30 1.03021
28 30 1.04421
6 30 1.05021
16 30 1.05021
29 30 1.05021
13 36 1.06821
7 1 1.08421
10 30 1.08421
47 39 1.08421
20 30 1.24421
32 30 1.24421
41 30 1.28421
45 30 1.28421
40 30 1.29021
3 36 1.29021
46 30 1.29621
47 30 1.44421
29 36 1.44421
33 36 1.44421
13 39 1.44421
23 15 1.44621
36 36 1.48421
11 39 1.48421
50 1 1.52421
17 30 1.53621
8 30 1.56021
2 30 1.56421
25 39 1.57021
40 1 1.64421
3 30 1.64421
31 1 1.76421
48 1 1.81021
37 30 1.83021
25 30 1.86821
28 36 1.96021
30 36 2.02821
12 36 2.04421
17 2 2.08421
33 30 2.08421
44 30 2.10621
36 39 2.10821
49 36 2.15621
38 36 2.20421
6 39 2.21221
16 39 2.22421
37 2 2.24421
48 15 2.24421
35 30 2.28021
27 30 2.30821
8 39 2.32421
45 39 2.37021
44 1 2.44421
9 36 2.44421
36 36 2.44421
30 39 2.45021
21 39 2.56021
13 30 2.56421
47 39 2.57621
46 39 2.60421
16 30 2.64421
8 36 2.65021
10 36 2.66221
33 39 2.68421
42 39 2.72421
4 36 2.76421
3 36 2.81821
36 30 2.85621
47 30 2.85621
---------------------------
30 30 2.86221
28 1 2.96421
25 36 2.96421
39 36 2.96421
---------------------------
14 30 2.98221
26 30 3.00421
46 30 3.06221
33 36 3.06221
21 1 3.08421
23 30 3.10421
35 36 3.12421
40 36 3.12421
27 36 3.13021
49 30 3.17621
3 1 3.24421
7 30 3.27421
22 15 3.28421
6 36 3.37621
40 30 3.44421
49 36 3.44421
35 30 3.46221
25 30 3.48421
---------------------------
30 36 3.49621
42 30 3.54221
38 39 3.61021
6 30 3.64421
27 39 3.68421
46 39 3.69021
8 1 3.76421
10 39 3.76421
1 30 3.77621
41 36 3.81021
15 15 3.84421
45 36 3.84421
35 39 3.84421
42 39 3.85021
40 39 3.85621
---------------------------
7 1 3.88421
21 30 3.93021
11 36 4.01021
4 39 4.02221
29 30 4.02821
10 30 4.04421
50 36 4.04421
22 1 4.05221
49 39 4.08421
14 36 4.20421
17 1 4.24421
40 36 4.24421
16 39 4.24421
21 39 4.25021
27 30 4.28421
25 36 4.32421
5 39 4.44421
49 36 4.45021
39 30 4.47421
42 30 4.49621
26 1 4.64421
18 39 4.65621
23 36 4.66221
50 30 4.68421
11 39 4.68421
36 39 4.70221
45 39 4.74821
6 1 4.76421
46 30 4.77021
49 39 4.86821
47 36 4.94221
1 36 5.02221
26 15 5.04421
30 39 5.04421
18 30 5.05021
50 39 5.05021
45 36 5.11621
28 30 5.13621
40 39 5.16621
27 36 5.17221
10 36 5.18821
44 2 5.20221
9 30 5.25621
23 30 5.30221
39 39 5.32421
16 36 5.37021
4 30 5.40421
29 36 5.40421
14 30 5.44221
18 36 5.45021
27 39 5.45021
2 39 5.45621
40 30 5.46221
21 30 5.47221
36 1 5.52421
---------------------------
25 30 5.60421
9 36 5.64421
39 36 5.66821
31 30 5.68421
1 39 5.68421
47 1 5.72421
13 39 5.74821
---------------------------
5 30 5.81621
2 30 5.84421
15 1 5.88421
14 1 5.89821
35 30 5.93621
11 30 6.01621
46 39 6.02821
28 36 6.03221
26 1 6.04421
9 30 6.05021
13 36 6.06221
12 39 6.06221
40 36 6.09021
29 30 6.10821
5 39 6.25021
14 39 6.25621
25 39 6.28421
37 36 6.29621
21 1 6.32421
44 1 6.36421
23 15 6.36421
45 39 6.40421
28 1 6.44421
9 36 6.44421
2 36 6.49621
33 30 6.57021
24 15 6.64421
10 39 6.64421
25 30 6.65021
41 39 6.65021
40 30 6.68421
8 30 6.70821
39 39 6.76421
23 1 6.80421
4 36 6.81621
45 30 6.84421
33 36 6.85021
5 30 6.89021
30 36 6.89021
37 39 6.90821
46 2 6.92421
38 30 6.92421
29 39 6.95421
35 39 6.96421
48 1 7.00421
31 36 7.00421
42 39 7.00421
8 39 7.04421
22 15 7.08421
19 30 7.08421
2 39 7.09621
25 39 7.09821
12 36 7.16421
49 36 7.24221
18 30 7.30821
21 30 7.32421
25 36 7.44421
17 39 7.45021
4 1 7.48421
37 36 7.48421
45 39 7.49021
39 30 7.52421
15 39 7.54221
6 30 7.56421
48 15 7.68421
38 39 7.72421
9 39 7.84021
17 30 7.88021
19 39 7.92421
15 1 8.08421
37 1 8.08421
45 36 8.09021
2 30 8.16421
35 30 8.20421
22 1 8.24421
10 30 8.24421
43 30 8.24421
25 2 8.32421
13 30 8.36421
24 1 8.40421
5 36 8.44421
41 36 8.48421
14 36 8.56421
39 36 8.57021
11 39 8.61021
44 2 8.64421
13 39 8.65021
31 39 8.68021
42 30 8.72221
6 39 8.80421
49 2 8.84421
39 39 8.85021
35 36 8.88421
30 30 8.92421
45 30 8.93021
19 30 8.98221
9 30 8.99421
13 36 9.05021
24 15 9.08421
18 39 9.08421
31 30 9.12221
10 36 9.12421
12 30 9.13021
16 39 9.24421
45 36 9.25021
11 30 9.28421
41 39 9.32421
23 15 9.40421
33 39 9.40421
13 30 9.44421
39 30 9.48421
30 36 9.48421
42 1 9.52421
7 30 9.52421
28 30 9.64421
2 36 9.64421
40 36 9.68421
10 39 9.68421
38 30 9.73021
14 30 9.80421
21 36 9.80421
30 2 9.84421
41 30 9.88421
16 30 9.90821
31 1 9.92421
6 2 9.96421
3 30 10.0442
38 36 10.0442
29 36 10.1242
43 39 10.1502
12 36 10.1702
18 36 10.1822
37 2 10.2442
46 36 10.2442
25 30 10.2842
2 39 10.2902
43 36 10.4502
39 36 10.5642
33 30 10.5702
13 36 10.6002
36 30 10.6622
19 36 10.6842
29 30 10.6902
35 39 10.7082
25 36 10.7102
41 36 10.7362
8 30 10.8042
7 36 10.8102
46 2 10.8842
22 30 10.8902
38 30 10.9242
18 39 10.9242
49 30 11.0442
33 36 11.0902
43 30 11.1022
2 30 11.1242
40 30 11.2562
10 36 11.2622
29 39 11.2842
4 15 11.3642
49 36 11.4442
18 30 11.4842
13 30 11.5242
25 39 11.5422
11 39 11.5702
10 39 11.6442
12 39 11.6562
29 30 11.6742
43 1 11.6842
21 30 11.6902
16 39 11.6902
22 39 11.7302
7 30 11.7662
41 30 11.7702
36 39 11.7762
30 15 11.8442
44 1 11.8842
2 39 11.9242
19 30 12.0042
23 1 12.0222
36 1 12.0442
21 39 12.0442
29 39 12.0442
39 39 12.0442
41 36 12.0502
10 36 12.0562
16 30 12.0742
47 15 12.0762
49 39 12.0902
38 39 12.2042
12 30 12.3322
7 36 12.3502
48 1 12.4442
49 30 12.4442
10 39 12.4502
39 30 12.4622
15 2 12.5242
25 30 12.5642
11 30 12.5822
33 39 12.6442
44 39 12.6842
19 36 12.6962
29 30 12.7202
17 39 12.8222
39 36 12.8442
10 30 12.8562
37 39 12.8962
41 30 12.9242
8 39 12.9242
21 36 12.9302
4 1 12.9422
2 1 12.9642
49 36 13.0842
11 39 13.0902
30 1 13.2042
26 15 13.2042
17 30 13.2442
22 36 13.2562
40 36 13.3242
38 36 13.3702
16 36 13.4162
35 30 13.4442
6 30 13.4842
41 36 13.4902
10 39 13.4902
4 36 13.5322
3 39 13.5642
12 36 13.6162
7 30 13.6282
23 2 13.6442
47 2 13.6442
8 30 13.7242
39 30 13.7242
19 39 13.7882
25 36 13.8162
10 30 13.8502
5 30 13.8842
43 30 13.8842
11 36 13.9242
49 39 13.9302
33 36 14.0222
7 1 14.0442
3 36 14.0842
36 39 14.1062
26 1 14.1242
22 30 14.1242
38 30 14.1242
40 30 14.1302
24 1 14.2042
37 36 14.2042
49 36 14.2442
29 36 14.2742
19 36 14.2842
8 36 14.2962
4 1 14.3242
6 36 14.3242
41 39 14.3242
17 36 14.3702
21 15 14.4442
33 30 14.4502
39 2 14.5362
38 1 14.6842
11 30 14.7242
12 15 14.7642
35 1 14.8042
16 30 14.8042
21 1 14.8442
8 30 14.8842
46 39 14.8842
22 39 14.9422
6 30 15.1302
41 36 15.1302
5 39 15.2042
25 39 15.2042
13 36 15.2102
10 36 15.2402
30 36 15.2442
22 30 15.2502
7 30 15.4042
36 36 15.4042
40 36 15.4222
3 30 15.4522
41 30 15.4622
11 39 15.5482
37 30 15.6042
25 36 15.6622
13 1 15.6682
6 36 15.6902
14 36 15.7642
40 1 15.8442
38 39 15.8502
36 30 15.8682
26 15 15.8842
10 30 15.8842
5 36 15.8842
30 39 15.8902
8 39 15.9702
21 15 16.0442
25 30 16.0442
6 30 16.0622
19 30 16.0842
49 30 16.0842
17 39 16.0902
12 1 16.2042
16 36 16.2042
35 30 16.2282
38 30 16.2562
24 2 16.2842
13 30 16.2902
30 30 16.3042
4 39 16.3042
31 15 16.3422
46 30 16.4442
15 36 16.4842
10 39 16.4962
16 30 16.6442
49 36 16.6902
35 1 16.7162
