Waf: Entering directory `/home/user/ns3/ns-allinone-3.29/ns-3.29/build'
[1913/1966] Compiling scratch/lastest.cc
[1926/1966] Linking build/scratch/lastest
Waf: Leaving directory `/home/user/ns3/ns-allinone-3.29/ns-3.29/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (14.086s)
---------------------------
---------------------------
13 39 8.65021
44 36 8.73621
25 36 8.77621
27 39 8.84421
23 15 8.88421
9 30 8.88421
34 39 8.89021
33 39 8.89621
35 36 8.93021
49 36 8.93221
16 39 8.96421
19 30 9.00421
11 39 9.00421
5 30 9.04421
6 39 9.04421
25 39 9.04421
41 39 9.10221
12 30 9.13021
45 30 9.13021
8 30 9.21021
49 1 9.24421
35 30 9.24421
9 36 9.25021
42 30 9.28021
31 1 9.28421
7 30 9.28421
13 30 9.28421
44 30 9.28421
30 30 9.40421
11 30 9.44421
25 36 9.44421
6 30 9.46821
10 36 9.57021
2 39 9.65021
8 39 9.66221
41 30 9.68421
5 36 9.68421
45 36 9.68421
29 39 9.77621
38 30 9.78821
30 36 9.85021
10 39 9.85021
14 39 9.93021
16 30 9.97621
33 30 9.98221
38 36 10.0442
8 36 10.0502
32 39 10.0562
12 36 10.1642
18 36 10.1642
27 30 10.2222
30 39 10.2442
34 30 10.2582
29 36 10.2902
24 15 10.4042
8 30 10.4442
18 39 10.4442
40 36 10.4622
39 36 10.4902
47 30 10.5242
13 36 10.6102
34 1 10.6442
29 30 10.6442
30 30 10.6442
7 39 10.7002
14 30 10.7242
25 30 10.8042
9 30 10.8742
19 39 10.8842
32 36 10.9242
10 30 10.9642
35 39 10.9942
2 30 11.0042
14 36 11.0442
6 36 11.0502
42 36 11.0842
33 36 11.2042
35 1 11.2442
41 36 11.2442
10 36 11.2502
25 39 11.2562
44 1 11.3242
17 39 11.3242
40 30 11.3362
46 39 11.3662
3 30 11.4042
38 30 11.4102
28 39 11.4442
32 30 11.4842
9 36 11.4842
19 36 11.4842
13 30 11.5242
11 36 11.5242
47 36 11.5702
18 30 11.5762
25 30 11.6442
10 39 11.6442
12 39 11.6562
41 30 11.6622
6 30 11.6842
16 39 11.6842
30 39 11.7942
11 39 11.8442
38 39 11.8502
19 30 11.8682
47 39 11.8802
7 36 12.0042
29 39 12.0042
30 2 12.0442
16 36 12.0442
12 30 12.0502
6 36 12.0502
28 36 12.0842
17 30 12.1242
42 30 12.1642
2 39 12.1762
15 15 12.2402
14 39 12.4102
2 30 12.4442
42 36 12.4442
5 30 12.4502
47 36 12.4962
34 36 12.5642
23 1 12.6042
30 30 12.6842
29 30 12.6962
10 30 12.7642
39 30 12.7942
3 39 12.8042
46 2 12.8442
34 39 12.8442
42 39 12.8442
14 30 12.8502
44 30 12.9082
7 30 12.9242
16 30 12.9302
45 39 12.9782
5 39 13.0962
17 39 13.1702
3 30 13.2442
34 30 13.2442
42 30 13.2502
39 36 13.2902
40 36 13.3242
12 36 13.4042
17 30 13.4502
44 1 13.4842
45 2 13.4842
16 36 13.4842
25 36 13.4842
41 36 13.4902
30 39 13.5242
33 30 13.5642
39 30 13.6442
40 30 13.6862
42 36 13.7102
14 36 13.7242
33 39 13.8442
2 36 13.8522
30 30 13.8562
12 39 13.8742
34 39 13.8842
3 39 13.9202
19 39 13.9242
11 36 13.9302
9 39 14.0042
29 39 14.0222
7 39 14.0362
42 39 14.0442
39 36 14.0562
15 36 14.0902
41 30 14.1082
6 39 14.1242
5 30 14.2002
33 30 14.2442
34 30 14.2442
19 30 14.2562
44 39 14.3362
38 30 14.4162
7 1 14.4502
8 36 14.4682
41 39 14.4682
30 39 14.5022
15 30 14.5162
17 36 14.5642
28 30 14.6042
46 39 14.6502
42 1 14.6842
29 30 14.6842
9 36 14.6962
11 30 14.7362
14 30 14.7642
47 39 14.7762
16 39 14.8042
7 30 14.8442
5 39 14.8842
19 36 14.8902
6 36 14.9242
3 30 14.9642
30 36 15.0902
44 30 15.1242
23 15 15.1642
2 1 15.2042
6 30 15.2442
16 30 15.2502
40 36 15.2502
3 36 15.2862
11 39 15.2902
15 2 15.3242
8 30 15.3242
41 30 15.3302
29 36 15.5242
14 36 15.5302
28 36 15.5302
33 36 15.6042
3 1 15.6442
39 39 15.6442
11 30 15.6502
8 36 15.6502
40 30 15.6982
24 1 15.8042
5 30 15.9642
19 30 15.9642
46 36 16.0042
40 1 16.0442
33 30 16.0442
17 39 16.0562
34 39 16.0842
13 39 16.1702
25 30 16.2502
20 15 16.3242
28 30 16.3302
26 15 16.4042
12 36 16.4042
30 39 16.4282
44 39 16.4282
