Waf: Entering directory `/home/user/ns3/ns-allinone-3.29/ns-3.29/build'
331 71 3 8.04
332 92 9 8.04
333 64 7 8.08
334 87 7 8.08
335 49 6 8.24
336 95 14 8.24
337 86 6 8.24
338 72 4 8.24
339 96 11 8.24
340 91 11 8.24
341 70 8 8.4
342 86 11 8.44
343 97 15 8.44
344 91 8 8.44
345 66 11 8.44
346 98 9 8.44
347 76 13 8.44
348 53 12 8.44
349 96 13 8.44
350 79 7 8.48
351 76 10 8.48
352 92 13 8.48
353 99 10 8.64
354 81 11 8.64
355 56 9 8.64
356 97 9 8.64
357 71 10 8.68
358 99 9 8.8
359 78 12 8.8
360 74 12 8.8
361 101 12 8.84
362 98 7 8.84
363 102 11 8.84
364 83 13 8.84
365 105 11 8.84
366 102 10 8.84
367 103 11 8.84
368 101 13 8.84
369 86 10 8.84
370 79 10 8.84
371 104 10 8.84
372 81 10 8.88
373 84 8 8.88
374 95 15 9
375 90 13 9
376 74 11 9.04
377 107 10 9.04
378 89 13 9.04
379 103 14 9.04
380 57 10 9.08
381 85 11 9.08
382 100 13 9.12
383 94 9 9.2
384 75 10 9.2
385 100 13 9.2
386 108 16 9.24
387 73 8 9.24
388 82 10 9.24
389 110 13 9.24
390 109 16 9.24
391 111 10 9.24
---------------------------
392 46 14 9.24
393 95 8 9.28
394 106 14 9.28
395 104 14 9.4
396 68 9 9.44
397 106 10 9.44
398 117 11 9.44
399 105 11 9.48
400 82 9 9.6
401 91 7 9.64
402 109 4 9.64
403 120 13 9.64
404 93 11 9.64
405 119 11 9.64
406 111 16 9.64
407 116 11 9.68
408 113 12 9.68
409 112 14 9.72
410 107 10 9.8
411 112 12 9.84
412 122 14 9.84
413 77 11 9.84
414 101 13 9.84
415 121 11 9.84
416 83 9 9.88
