Waf: Entering directory `/home/user/ns3/ns-allinone-3.29/ns-3.29/build'
[1913/1966] Compiling scratch/lastest.cc
[1926/1966] Linking build/scratch/lastest
Waf: Leaving directory `/home/user/ns3/ns-allinone-3.29/ns-3.29/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (30.577s)
---------------------------
---------------------------
1 23 3 0.440001
2 7 9 0.440001
3 39 2 0.440001
4 7 3 0.440001
5 29 8 0.440001
6 32 11 0.440001
7 37 9 0.440001
8 4 12 0.440001
9 4 10 0.440001
10 27 6 0.440001
11 26 13 0.440001
12 33 10 0.440001
13 42 6 0.440001
14 37 9 0.640001
15 26 12 0.640001
16 24 13 0.680001
17 22 12 0.800001
18 1 14 0.800001
19 2 14 0.800001
20 4 16 0.800001
21 1 14 0.840001
22 2 9 0.840001
23 3 14 0.840001
24 2 9 0.840001
25 5 6 0.840001
26 8 13 0.840001
27 5 12 0.840001
28 4 13 0.840001
29 6 13 1
30 1 8 1.04
31 1 8 1.04
32 16 7 1.04
33 12 11 1.04
34 39 10 1.2
35 43 5 1.24
36 11 11 1.24
37 13 10 1.24
38 36 12 1.24
39 37 11 1.24
40 3 10 1.28
41 5 10 1.4
42 16 14 1.44
43 14 5 1.44
44 10 11 1.44
45 3 12 1.44
46 17 10 1.44
47 9 12 1.48
48 20 12 1.48
49 31 13 1.6
50 17 15 1.6
---------------------------
51 5 14 1.64
52 25 12 1.64
53 16 7 1.64
54 35 8 1.64
55 8 11 1.64
56 8 15 1.64
57 9 10 1.64
58 44 10 1.68
59 6 14 1.68
60 7 14 1.76
61 12 14 1.8
62 39 8 1.84
63 10 3 1.84
64 42 9 1.84
65 7 12 1.84
66 11 8 1.84
67 21 12 1.84
68 6 10 1.88
69 19 13 1.88
70 15 10 2
71 25 12 2.04
72 12 13 2.04
73 41 10 2.04
74 1 9 2.04
75 26 14 2.04
76 38 10 2.04
77 13 11 2.04
78 16 9 2.04
79 15 13 2.04
80 23 14 2.08
81 6 14 2.2
82 2 11 2.24
83 10 12 2.24
84 7 9 2.24
85 18 13 2.24
86 17 8 2.24
87 28 5 2.24
88 20 14 2.24
89 17 10 2.28
90 2 16 2.4
91 21 5 2.44
92 6 8 2.44
93 29 15 2.44
94 20 9 2.44
95 31 10 2.44
96 52 7 2.44
97 18 15 2.44
---------------------------
98 14 13 2.52
99 25 14 2.64
---------------------------
100 46 11 2.64
101 23 11 2.64
102 3 7 2.64
103 53 13 2.64
104 40 8 2.68
105 32 12 2.68
106 43 11 2.68
107 19 13 2.8
108 33 12 2.8
109 35 15 2.84
110 27 9 2.84
111 36 15 2.84
112 37 11 2.84
113 26 10 2.84
114 30 12 3.04
115 47 13 3.04
116 55 8 3.04
117 31 8 3.04
118 38 15 3.04
119 16 11 3.04
---------------------------
120 44 11 3.08
121 27 10 3.2
122 45 12 3.2
123 56 12 3.2
124 49 14 3.2
125 43 10 3.2
126 3 13 3.24
127 22 12 3.24
128 29 12 3.24
129 5 10 3.24
130 39 9 3.24
131 40 8 3.24
132 24 16 3.28
133 30 15 3.28
134 57 12 3.28
135 22 10 3.28
136 19 12 3.4
137 40 12 3.4
138 51 14 3.44
139 43 11 3.44
140 41 14 3.44
141 54 12 3.48
142 47 12 3.48
143 24 13 3.6
144 45 11 3.64
---------------------------
145 46 13 3.64
146 34 11 3.64
147 34 8 3.64
148 35 10 3.64
149 38 12 3.64
150 48 12 3.64
151 44 13 3.64
152 33 13 3.64
153 32 14 3.68
154 28 14 3.68
155 39 13 3.8
156 53 11 3.8
157 60 11 3.8
158 36 16 3.8
159 48 10 3.8
160 42 11 3.84
161 41 9 3.84
162 8 5 3.84
163 54 7 3.84
164 37 10 3.88
165 34 11 3.96
166 41 13 4.04
167 44 11 4.04
168 51 10 4.04
169 52 13 4.04
170 58 5 4.04
171 52 9 4.04
172 50 7 4.04
173 55 10 4.04
174 42 13 4.04
175 43 12 4.08
176 59 11 4.08
177 45 15 4.24
178 52 12 4.24
179 59 12 4.24
180 50 14 4.24
181 54 2 4.24
---------------------------
182 46 11 4.24
183 15 11 4.28
184 63 12 4.44
185 47 7 4.44
186 57 9 4.44
187 62 12 4.44
188 49 7 4.44
189 54 13 4.44
190 51 10 4.44
191 56 6 4.44
192 51 13 4.44
193 38 12 4.48
194 53 10 4.48
195 68 9 4.64
196 47 12 4.64
197 40 10 4.64
198 23 11 4.64
199 57 10 4.64
---------------------------
200 46 11 4.64
201 50 10 4.68
202 53 14 4.8
203 54 13 4.84
204 55 2 4.84
205 66 11 4.84
206 58 12 4.84
207 52 13 4.88
208 55 13 4.92
209 56 13 5
210 49 9 5
211 48 12 5
212 61 12 5.04
213 58 5 5.04
214 60 7 5.04
215 62 8 5.04
216 65 10 5.2
217 64 10 5.24
218 64 14 5.24
219 59 11 5.24
220 72 10 5.24
221 60 7 5.24
222 57 12 5.32
223 59 11 5.32
224 56 12 5.4
225 47 11 5.4
226 49 9 5.4
227 58 11 5.44
228 63 6 5.44
229 69 9 5.44
230 66 5 5.44
231 48 11 5.6
232 55 11 5.64
233 65 12 5.64
234 62 7 5.64
235 68 11 5.64
236 64 11 5.64
237 63 12 5.68
238 51 10 5.8
239 70 11 5.84
240 65 11 5.84
241 71 5 5.84
242 61 8 5.84
243 45 9 6
244 73 11 6.04
245 65 6 6.04
246 62 10 6.04
247 74 7 6.04
248 58 11 6.04
249 70 13 6.04
250 50 10 6.04
251 75 7 6.04
252 60 10 6.08
253 68 14 6.08
254 67 15 6.2
255 45 11 6.24
256 75 13 6.24
257 71 10 6.24
258 67 12 6.36
259 72 16 6.4
260 72 8 6.44
261 73 7 6.44
262 63 13 6.44
263 77 13 6.44
264 4 12 6.44
265 70 10 6.44
266 66 13 6.44
267 61 5 6.48
268 60 14 6.6
269 61 16 6.6
270 66 10 6.64
271 67 13 6.64
272 48 14 6.68
273 75 12 6.68
274 69 13 6.72
275 79 16 6.8
276 80 11 6.84
277 62 11 6.84
278 76 11 6.84
279 74 12 6.84
280 81 4 6.84
281 82 14 6.84
282 67 12 6.84
283 78 15 6.84
284 69 12 6.88
285 69 12 7.04
286 78 11 7.04
287 74 11 7.04
288 85 12 7.04
289 79 14 7.04
290 88 13 7.24
291 80 13 7.24
292 81 14 7.24
293 67 13 7.24
294 78 12 7.24
295 87 10 7.24
296 63 10 7.24
297 72 12 7.24
298 42 11 7.28
299 77 11 7.28
300 82 9 7.44
301 76 12 7.44
302 75 9 7.44
303 84 14 7.48
304 44 10 7.6
305 87 15 7.6
306 71 13 7.6
307 68 11 7.64
308 89 11 7.64
309 80 10 7.64
310 69 10 7.64
311 84 12 7.64
312 85 11 7.64
313 86 11 7.64
314 88 13 7.64
315 84 5 7.68
316 83 12 7.68
317 73 8 7.72
318 83 13 7.8
319 73 6 7.8
320 85 11 7.8
321 90 9 7.84
322 61 13 7.88
323 73 8 7.88
324 92 15 8.04
325 91 9 8.04
326 93 15 8.04
327 94 10 8.04
328 59 8 8.04
329 77 11 8.04
330 93 8 8.04
