Waf: Entering directory `/home/user/ns3/ns-allinone-3.29/ns-3.29/build'
[1913/1966] Compiling scratch/lastest.cc
[1926/1966] Linking build/scratch/lastest
Waf: Leaving directory `/home/user/ns3/ns-allinone-3.29/ns-3.29/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (16.869s)
5 1 0.444214
13 1 0.444214
28 1 0.444214
15 5 0.444214
23 5 0.444214
33 5 0.444214
36 5 0.444214
43 5 0.444214
9 15 0.444214
17 15 0.444214
45 15 0.444214
4 1 0.450214
16 1 0.450214
38 5 0.450214
46 5 0.450214
19 5 0.456214
7 15 0.456214
11 15 0.456214
32 15 0.456214
27 5 0.684214
20 5 0.690214
22 5 0.690214
39 1 0.702214
32 1 0.844214
7 5 0.850214
4 5 0.856214
38 15 0.868214
12 15 1.16421
29 15 1.16421
33 1 1.32421
14 5 1.41021
9 1 1.56421
11 1 1.56421
43 15 1.56421
28 5 1.57021
46 15 1.57021
23 15 1.57621
6 1 1.64421
31 1 1.64421
48 5 1.64421
33 15 1.64421
10 1 1.65021
29 1 1.68421
12 1 1.69021
39 5 1.76421
20 15 1.77621
14 1 1.84421
43 5 1.84421
39 1 2.04421
6 5 2.04421
20 5 2.04421
31 5 2.04421
29 15 2.04421
48 15 2.04421
---------------------------
12 15 2.05021
36 15 2.05021
---------------------------
9 15 2.08421
2 1 2.12421
---------------------------
34 1 2.36421
36 5 2.44421
32 15 2.44421
29 1 2.45021
43 15 2.48421
45 1 2.52421
42 1 2.62821
4 1 2.68421
48 5 2.68421
36 15 2.84421
45 15 2.84421
47 15 2.84421
7 15 2.92421
19 1 3.00421
48 15 3.04421
34 5 3.13021
9 1 3.16421
20 15 3.16421
---------------------------
22 15 3.21021
47 1 3.25021
17 5 3.26221
19 5 3.44421
7 5 3.48421
36 5 3.48421
32 1 3.56421
50 5 3.56421
44 15 3.56421
39 15 3.64421
27 15 3.68421
20 5 3.69621
47 15 3.88421
40 1 4.04421
26 5 4.04421
27 5 4.04421
20 15 4.04421
30 15 4.04421
43 5 4.05021
32 5 4.09621
41 1 4.29021
32 1 4.44421
20 5 4.44421
42 5 4.48421
21 1 4.52421
12 1 4.60421
17 15 4.60421
48 5 4.64421
50 1 4.81021
38 1 4.84421
42 15 4.84421
14 5 4.89021
40 5 4.93021
18 1 5.00421
8 5 5.01021
---------------------------
44 5 5.04421
12 15 5.04421
21 5 5.08421
39 1 5.24421
50 5 5.24421
42 1 5.25021
17 5 5.29021
48 15 5.29021
30 1 5.41021
12 1 5.44421
44 15 5.44421
8 1 5.45621
46 1 5.46821
4 5 5.68421
40 1 5.72421
30 15 5.84421
31 1 6.04421
8 5 6.08421
33 5 6.13021
47 5 6.17021
29 15 6.20421
22 5 6.28421
40 5 6.28421
9 15 6.32421
46 15 6.33621
33 1 6.44421
35 1 6.45021
7 15 6.48421
30 1 6.49021
44 5 6.56421
42 5 6.61021
40 15 6.65021
8 1 6.68421
47 15 6.68421
7 5 6.84421
17 15 6.84421
27 15 6.84421
30 15 6.84421
35 5 6.85621
29 1 6.88421
22 15 6.89021
40 1 7.04421
42 1 7.04421
49 15 7.17021
30 1 7.24421
35 1 7.25621
48 5 7.33021
11 15 7.39421
42 5 7.44421
17 5 7.48421
29 15 7.48421
33 15 7.56421
14 1 7.64421
1 1 7.65021
40 5 7.68421
47 5 7.76421
44 15 7.81021
17 15 7.84421
42 15 7.84421
35 5 7.89021
11 1 7.89621
22 5 7.96421
40 1 8.04421
1 5 8.04421
47 15 8.05021
21 1 8.08421
31 5 8.12421
25 15 8.12421
49 5 8.16421
17 1 8.25021
42 1 8.25021
30 15 8.36421
48 15 8.36421
47 5 8.45621
42 15 8.64421
21 5 8.68421
48 5 8.88421
42 5 9.05021
17 5 9.13021
49 15 9.16421
21 1 9.28421
6 15 9.41021
47 15 9.56421
19 1 9.60421
23 5 9.76421
17 1 9.92421
34 1 9.92421
39 15 9.97021
29 1 10.0042
49 5 10.1642
34 5 10.2442
17 15 10.2442
39 1 10.2502
27 5 10.3642
42 1 10.6442
39 15 10.6442
50 1 10.6842
49 15 10.6842
19 5 10.7762
6 1 10.8042
21 5 10.8442
17 1 10.8902
45 1 10.9242
15 15 10.9302
33 1 10.9642
19 1 11.0442
45 15 11.2442
27 1 11.3642
21 1 11.4842
33 15 11.4842
6 15 11.4962
42 15 11.5242
29 15 11.6442
18 5 11.6842
20 15 11.8042
44 5 11.8502
48 15 11.8842
49 5 12.0042
33 1 12.0842
42 1 12.0902
28 1 12.1702
23 15 12.2042
17 5 12.2102
29 1 12.2842
34 15 12.3242
33 15 12.4442
42 15 12.4442
20 5 12.4842
48 5 12.4842
25 1 12.5242
34 5 12.6442
17 1 12.6502
28 5 12.7142
2 5 12.7702
21 5 12.8042
22 15 12.8042
20 15 12.8442
25 15 12.8502
33 1 12.8622
29 15 12.9022
3 1 12.9242
25 1 13.2442
1 1 13.4842
7 1 13.4842
29 1 13.4902
25 15 13.6562
24 15 13.6622
20 5 13.9642
48 15 14.0442
24 5 14.0502
1 5 14.0902
30 5 14.1702
12 15 14.2442
42 5 14.2842
22 5 14.4502
24 15 14.4502
3 5 14.4682
29 15 14.5642
49 15 14.6102
30 15 14.6902
1 1 14.7022
25 1 14.7642
3 15 14.8442
12 5 14.8962
18 1 14.9242
44 1 14.9262
34 1 14.9642
22 15 15.0902
48 5 15.1642
44 5 15.2442
18 5 15.2502
40 5 15.4042
28 1 15.4502
22 5 15.4502
25 15 15.5242
29 1 15.5642
44 1 15.6502
3 5 15.7242
25 1 15.8442
28 5 15.8442
18 1 15.8902
12 15 15.9642
7 5 16.0102
46 1 16.0222
11 5 16.1822
12 5 16.2442
49 5 16.2502
1 5 16.2682
44 5 16.2842
20 15 16.4102
7 1 16.4442
11 1 16.4502
29 15 16.5642
48 15 16.6442
12 15 16.6502
46 15 16.6842
37 1 16.7822
36 1 16.8162
29 1 16.8442
7 5 16.8442
6 5 16.8842
1 1 16.8962
28 1 17.2042
7 1 17.2442
46 1 17.2842
11 5 17.3242
49 1 17.3642
1 5 17.4842
6 15 17.7242
12 5 17.7642
11 1 17.8842
36 5 17.9642
22 1 18.0282
46 15 18.1242
48 5 18.2502
12 15 18.2842
5 5 18.3642
6 5 18.5242
35 15 18.5762
12 5 18.6442
48 15 18.6442
5 1 18.6502
46 1 18.6842
11 5 18.7242
6 15 18.8442
46 15 19.0442
6 1 19.2442
28 5 19.5642
46 1 19.6962
20 5 19.7242
12 15 19.7642
34 5 19.8042
10 15 19.8042
