Waf: Entering directory `/home/user/ns3/ns-allinone-3.29/ns-3.29/build'
[1914/1966] Compiling scratch/lastest.cc
[1951/1966] Linking build/scratch/lastest
Waf: Leaving directory `/home/user/ns3/ns-allinone-3.29/ns-3.29/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (12.454s)
---------------------------
---------------------------
---------------------------
1 4 14 0.400001
2 20 9 0.440001
3 7 9 0.440001
4 30 10 0.440001
5 6 6 0.440001
6 55 11 0.440001
7 45 7 0.440001
8 54 10 0.440001
9 44 9 0.440001
10 23 10 0.440001
11 26 12 0.440001
12 52 10 0.440001
13 53 7 0.440001
14 34 9 0.640001
15 4 14 0.640001
16 40 14 0.800001
17 7 13 0.800001
18 1 14 0.840001
19 24 12 0.880001
20 1 12 1
21 21 12 1.04
22 3 15 1.08
23 2 11 1.08
24 3 12 1.24
25 2 14 1.28
26 4 16 1.28
27 12 13 1.4
28 5 15 1.4
29 13 12 1.44
30 1 12 1.44
31 1 9 1.44
32 62 12 1.44
33 9 11 1.48
34 2 9 1.64
35 25 13 1.64
36 20 14 1.64
37 56 11 1.64
38 15 10 1.84
39 55 9 1.84
40 5 11 1.84
41 10 5 1.84
42 11 12 1.84
43 36 1 1.84
44 9 14 1.88
45 16 14 2.04
46 7 15 2.2
47 4 14 2.24
48 6 15 2.36
49 11 13 2.4
50 8 13 2.6
51 6 15 2.6
52 5 12 2.64
53 25 12 2.64
54 22 13 2.64
55 21 12 2.64
56 14 14 2.64
57 8 11 2.64
58 8 16 2.64
59 1 12 2.68
60 58 11 2.68
61 2 11 2.84
62 15 9 2.84
63 57 11 2.88
64 38 11 3.04
65 16 12 3.04
66 10 15 3.04
67 19 7 3.04
68 3 10 3.04
69 26 7 3.04
70 63 10 3.08
71 19 15 3.2
72 30 11 3.24
73 2 12 3.24
74 7 12 3.32
75 14 14 3.4
76 31 9 3.44
77 5 12 3.44
78 20 12 3.44
79 17 12 3.44
---------------------------
80 17 15 3.52
81 28 15 3.6
82 23 10 3.64
83 18 13 3.64
84 25 9 3.64
85 15 11 3.64
86 20 14 3.72
87 23 15 3.8
88 39 12 3.84
89 21 16 4
90 28 8 4.04
91 13 13 4.04
92 3 16 4.04
93 8 12 4.04
94 32 12 4.08
95 39 12 4.08
96 30 10 4.24
97 66 11 4.24
98 24 11 4.24
99 40 12 4.28
100 62 12 4.32
101 25 15 4.4
102 22 15 4.4
103 37 9 4.44
104 39 11 4.44
105 38 13 4.44
106 40 14 4.44
107 65 13 4.48
108 27 15 4.6
109 42 11 4.64
110 35 14 4.68
111 6 11 4.68
112 64 10 4.68
113 27 14 4.76
114 12 12 4.8
115 32 11 4.84
116 34 14 4.84
117 18 12 4.84
118 42 12 4.88
119 26 12 4.88
120 33 12 4.88
121 24 13 5
122 68 11 5.04
123 35 13 5.04
124 44 11 5.04
125 31 14 5.08
126 44 13 5.08
---------------------------
127 50 11 5.24
128 17 10 5.24
129 51 7 5.24
130 36 4 5.24
131 48 12 5.24
132 69 11 5.24
---------------------------
133 46 11 5.28
134 33 11 5.28
135 43 11 5.36
136 34 14 5.4
---------------------------
137 46 12 5.44
